id,provider_name,provider_id,segment_name,country
8077387,KBM Group,957,KBM Group - France - Conexance Demographics | Lifestyle | Promising active youth | Wealthy young people living in large cities,france
11120194,KBM Group,957,KBM Group - Germany - AZ Direct - Target Groups | Insurance | Target groups with Focus on Insurance | Individualistic about risk-taking,germany
11120238,KBM Group,957,KBM Group - Germany - AZ Direct - Target Groups | Insurance | Target groups with Focus on Insurance | Job Starter,germany
11120193,KBM Group,957,KBM Group - Germany - AZ Direct - Target Groups | Insurance | Target groups with Focus on Insurance | Social security-oriented people,germany
11119973,KBM Group,957,KBM Group - Germany - AZ Direct | AZ Finance | Income | High Income,germany
11119903,KBM Group,957,KBM Group - Germany - AZ Direct | AZ Finance | Income | Low Income,germany
11119920,KBM Group,957,KBM Group - Germany - AZ Direct | AZ Finance | Income | Medium Income,germany
11119911,KBM Group,957,KBM Group - Germany - AZ Direct | AZ Sociodemographics | Building size | 1 Household in the Building,germany
11119994,KBM Group,957,KBM Group - Germany - AZ Direct | AZ Sociodemographics | Building size | 2 Households in the Building,germany
11120013,KBM Group,957,KBM Group - Germany - AZ Direct | AZ Sociodemographics | Building size | 3-5 Households in the Building,germany
11120012,KBM Group,957,KBM Group - Germany - AZ Direct | AZ Sociodemographics | Building size | 6-10 Households in the Building,germany
11120016,KBM Group,957,KBM Group - Germany - AZ Direct | AZ Sociodemographics | Building size | >10 Households in the Building,germany
11120018,KBM Group,957,KBM Group - Germany - AZ Direct | AZ Sociodemographics | Quality of residential area | Good Residential Area,germany
11120094,KBM Group,957,KBM Group - Germany - AZ Direct | AZ Sociodemographics | Quality of residential area | Very good Residential Area,germany
11120075,KBM Group,957,KBM Group - Germany - AZ Direct | AZ Sociodemographics | Quality of residential area | Very simple Residential Area,germany
11053903,KBM Group,957,KBM Group - Germany - microm Data | Demographic Data | Income | Average Household Income,germany
11053913,KBM Group,957,KBM Group - Germany - microm Data | Demographic Data | Income | High Household Income,germany
11053907,KBM Group,957,KBM Group - Germany - microm Data | Demographic Data | Income | Low Household Income,germany
11054050,KBM Group,957,KBM Group - Germany - microm Data | microm Typology  - Neighbourhood Types | Group D: Inner-city Problem Areas | Social Housing and Ordinary Apartment Houses,germany
11054081,KBM Group,957,KBM Group - Germany - microm Data | microm Typology  - Neighbourhood Types | Group E: High Rises and Simple Tenements | Areas of Social Focus,germany
11054104,KBM Group,957,KBM Group - Germany - microm Data | microm Typology  - Neighbourhood Types | Group E: High Rises and Simple Tenements | Older Social Housing,germany
11054077,KBM Group,957,KBM Group - Germany - microm Data | microm Typology  - Neighbourhood Types | Group F: Pensioners in Simple Post-war Buildings | Common People in Tenements,germany
11054084,KBM Group,957,KBM Group - Germany - microm Data | microm Typology  - Neighbourhood Types | Group F: Pensioners in Simple Post-war Buildings | Common Single Pensioners,germany
