id,provider_name,provider_id,segment_name,country
4072989,Lotame,422,International_EU - France Affluent Households (Lotame),france
4073680,Lotame,422,International_EU - France Credit Level - Excellent (Lotame),france
4073678,Lotame,422,International_EU - France Credit Level - Good (Lotame),france
4073677,Lotame,422,International_EU - France Credit Level - Poor (Lotame),france
4072819,Lotame,422,International_EU - France Homeowners Insurance (Lotame),france
4072818,Lotame,422,International_EU - France Life Insurance (Lotame),france
4073214,Lotame,422,International_EU - France Luxury Cars (Lotame),france
4072761,Lotame,422,International_EU - France Online Shoppers Luxury (Lotame),france
4073718,Lotame,422,International_EU - France Relationship Status - Widowed (Lotame),france
4072736,Lotame,422,International_EU - France Shoppers Cosmetics Luxury (Lotame),france
4072752,Lotame,422,International_EU - France Shoppers Mens Clothing Luxury (Lotame),france
4072744,Lotame,422,International_EU - France Shoppers Womens Clothing Luxury (Lotame),france
23720460,Lotame,422,Lotame > Custom > FR > Luxury wealth Audience,france
8058284,Lotame,422,Mobilewalla > France > General Demography > Average Income,france
8058286,Lotame,422,Mobilewalla > France > General Demography > High Income,france
8058265,Lotame,422,Mobilewalla > France > General Demography > Low Income,france
4074140,Lotame,422,International_EU - Germany Affluent Households (Lotame),germany
4074608,Lotame,422,International_EU - Germany Credit Level - Excellent (Lotame),germany
4074606,Lotame,422,International_EU - Germany Credit Level - Good (Lotame),germany
4074603,Lotame,422,International_EU - Germany Credit Level - Poor (Lotame),germany
4074035,Lotame,422,International_EU - Germany Homeowners Insurance (Lotame),germany
4074034,Lotame,422,International_EU - Germany Life Insurance (Lotame),germany
4074318,Lotame,422,International_EU - Germany Luxury Cars (Lotame),germany
4073975,Lotame,422,International_EU - Germany Online Shoppers Luxury (Lotame),germany
4074635,Lotame,422,International_EU - Germany Relationship Status - Widowed (Lotame),germany
4073953,Lotame,422,International_EU - Germany Shoppers Cosmetics Luxury (Lotame),germany
4073964,Lotame,422,International_EU - Germany Shoppers Mens Clothing Luxury (Lotame),germany
4073960,Lotame,422,International_EU - Germany Shoppers Womens Clothing Luxury (Lotame),germany
23720472,Lotame,422,Lotame > Custom > DE > Luxury wealth Audience,germany
4075157,Lotame,422,International_EU - Italy Affluent Households (Lotame),italy
4075606,Lotame,422,International_EU - Italy Credit Level - Excellent (Lotame),italy
4075605,Lotame,422,International_EU - Italy Credit Level - Good (Lotame),italy
4075603,Lotame,422,International_EU - Italy Credit Level - Poor (Lotame),italy
4075062,Lotame,422,International_EU - Italy Homeowners Insurance (Lotame),italy
4075060,Lotame,422,International_EU - Italy Life Insurance (Lotame),italy
4075374,Lotame,422,International_EU - Italy Luxury Cars (Lotame),italy
4075010,Lotame,422,International_EU - Italy Online Shoppers Luxury (Lotame),italy
4075637,Lotame,422,International_EU - Italy Relationship Status - Widowed (Lotame),italy
4074997,Lotame,422,International_EU - Italy Shoppers Cosmetics Luxury (Lotame),italy
4075003,Lotame,422,International_EU - Italy Shoppers Mens Clothing Luxury (Lotame),italy
4075000,Lotame,422,International_EU - Italy Shoppers Womens Clothing Luxury (Lotame),italy
23720478,Lotame,422,Lotame > Custom > NL > Luxury wealth Audience,netherlands
4070356,Lotame,422,International_EU - Spain Affluent Households (Lotame),spain
4071220,Lotame,422,International_EU - Spain Credit Level - Excellent (Lotame),spain
4071212,Lotame,422,International_EU - Spain Credit Level - Good (Lotame),spain
4071210,Lotame,422,International_EU - Spain Credit Level - Poor (Lotame),spain
4070305,Lotame,422,International_EU - Spain Homeowners Insurance (Lotame),spain
4070304,Lotame,422,International_EU - Spain Life Insurance (Lotame),spain
4070458,Lotame,422,International_EU - Spain Luxury Cars (Lotame),spain
4070279,Lotame,422,International_EU - Spain Online Shoppers Luxury (Lotame),spain
4071295,Lotame,422,International_EU - Spain Relationship Status - Widowed (Lotame),spain
4070268,Lotame,422,International_EU - Spain Shoppers Cosmetics Luxury (Lotame),spain
4070274,Lotame,422,International_EU - Spain Shoppers Mens Clothing Luxury (Lotame),spain
4070271,Lotame,422,International_EU - Spain Shoppers Womens Clothing Luxury (Lotame),spain
23720451,Lotame,422,Lotame > Custom > ES > Luxury wealth Audience,spain
4072998,Lotame,422,International_EU - France Dieting and Weight Loss (Lotame),france
4074148,Lotame,422,International_EU - Germany Dieting and Weight Loss (Lotame),germany
4075166,Lotame,422,International_EU - Italy Dieting and Weight Loss (Lotame),italy
4070362,Lotame,422,International_EU - Spain Dieting and Weight Loss (Lotame),spain
4027700,Lotame,422,International_EU - Austria Parenting (Lotame),austria
2151638,Lotame,422,International_EU - Belgium Parenting (Lotame),belgium
23720457,Lotame,422,Lotame > Custom > BE > Parents,belgium
2151695,Lotame,422,International_EU - Denmark Parenting (Lotame),denmark
