id,provider_name,provider_id,segment_name,country
8614348,Nielsen Marketing Cloud,39,Experian FR - Auto - Manufacturer - Car Positioning - Luxury (Exelate),france
2638987,Nielsen Marketing Cloud,39,Experian FR - Mosaic - Blue-collar Heritage - Thrifty Young Parents in Social Housing (Exelate),france
2638992,Nielsen Marketing Cloud,39,Experian FR - Mosaic - Connected Cosmopolites - Single Parents in Social Housing (Exelate),france
2638993,Nielsen Marketing Cloud,39,Experian FR - Mosaic - Day-to-day Strugglers (Exelate),france
2638995,Nielsen Marketing Cloud,39,"Experian FR - Mosaic - Day-to-day Strugglers - Singles, Unemployment and Social Housing (Exelate)",france
2639026,Nielsen Marketing Cloud,39,Experian FR - Mosaic - Traditional Countryside - Retirement and Widows in the Countryside (Exelate),france
2639028,Nielsen Marketing Cloud,39,Experian FR - Mosaic - Wealthy Suburbs (Exelate),france
2639029,Nielsen Marketing Cloud,39,Experian FR - Mosaic - Wealthy Suburbs - Big Families in Comfort (Exelate),france
2639030,Nielsen Marketing Cloud,39,Experian FR - Mosaic - Wealthy Suburbs - Digital Families and Income (Exelate),france
2639031,Nielsen Marketing Cloud,39,"Experian FR - Mosaic - Wealthy Suburbs - Mature Couples, Comfort and Financial Assets (Exelate)",france
2639032,Nielsen Marketing Cloud,39,Experian FR - Mosaic - Wealthy Suburbs - Movie Culture and Hard Discount (Exelate),france
2639033,Nielsen Marketing Cloud,39,Experian FR - Mosaic - Wealthy Suburbs - Wealthy Eco-friendly Seniors (Exelate),france
25279588,Nielsen Marketing Cloud,39,MSFT - Surface - FR - Income,france
20725798,Nielsen Marketing Cloud,39,Nielsen France - Social - Finance - Credit & Lending,france
18648921,Nielsen Marketing Cloud,39,Nielsen France - Social - Jobs & Education - Job Seekers,france
18649007,Nielsen Marketing Cloud,39,Nielsen France - Social - Shopping - Luxury Shopper,france
2167399,Nielsen Marketing Cloud,39,Semasio - DE - Demographic - Income - Between 2000 euros and 4000 euros (Exelate),germany
2167397,Nielsen Marketing Cloud,39,Semasio - DE - Demographic - Income - Under 2000 euros (Exelate),germany
2167398,Nielsen Marketing Cloud,39,Semasio - DE - Demographic - Income - Up to 4000 euros (Exelate),germany
8255374,Nielsen Marketing Cloud,39,Experian SP - Finance - Credit Card Frequency Used - 2-3 Time a Month (Exelate),spain
8255375,Nielsen Marketing Cloud,39,Experian SP - Finance - Credit Card Frequency Used - Daily Used (Exelate),spain
8255376,Nielsen Marketing Cloud,39,Experian SP - Finance - Credit Card Frequency Used - Once a Month (Exelate),spain
8255377,Nielsen Marketing Cloud,39,Experian SP - Finance - Credit Card Frequency Used - Once a Week (Exelate),spain
8255382,Nielsen Marketing Cloud,39,Experian SP - Finance - New Credit - Under 6000 euros (Exelate),spain
8255383,Nielsen Marketing Cloud,39,Experian SP - Finance - New Credit - Up to 15000 euros (Exelate),spain
8255385,Nielsen Marketing Cloud,39,Experian SP - Finance - New Credit - Up to 6000 euros Under 15000 euros (Exelate),spain
8255386,Nielsen Marketing Cloud,39,Experian SP - Finance - Number of Credit - 1 (Exelate),spain
8255387,Nielsen Marketing Cloud,39,Experian SP - Finance - Number of Credit - Up To 2 (Exelate),spain
8255392,Nielsen Marketing Cloud,39,Experian SP - Financial - Great Consumer of Credit and Cards (Exelate),spain
8255395,Nielsen Marketing Cloud,39,Experian SP - Financial - Retirees Without Credit (Exelate),spain
8255414,Nielsen Marketing Cloud,39,Experian SP - Insurance - Always Insured with Total Coverage (Exelate),spain
8255419,Nielsen Marketing Cloud,39,Experian SP - Insurance - Compulsory Insurance (Exelate),spain
8255420,Nielsen Marketing Cloud,39,Experian SP - Insurance - Compulsory Insurance and Health insurance (Exelate),spain
8255424,Nielsen Marketing Cloud,39,Experian SP - Insurance - Great Insurance Consumers (Exelate),spain
8255428,Nielsen Marketing Cloud,39,Experian SP - Insurance - Home Insurance - Full Coverage (Exelate),spain
8255430,Nielsen Marketing Cloud,39,Experian SP - Insurance - Life Insurance - Accidents (Exelate),spain
8255431,Nielsen Marketing Cloud,39,Experian SP - Insurance - Life Insurance - In Case of Death (Exelate),spain
8255432,Nielsen Marketing Cloud,39,Experian SP - Insurance - Life Insurance - In Case of Death and Maturity (Exelate),spain
8255433,Nielsen Marketing Cloud,39,Experian SP - Insurance - Maximum Coverage Insurance Consumer (Exelate),spain
