id,category,country,segment_name,hit,provider_name,provider_id,name_processed
13723689,Gesundheit,austria,GfK > AT > Purchasing Power for Retail Product Lines > Alcoholic beverages > 3: High (adsquare),alcohol,Adsquare (Data Provider),2711,gfk > at > purchasing power for retail product lines > alcoholic beverages > 3: high
13723667,Gesundheit,austria,GfK > AT > Purchasing Power for Retail Product Lines > Tobacco products > 3: High (adsquare),tobacco,Adsquare (Data Provider),2711,gfk > at > purchasing power for retail product lines > tobacco products > 3: high
15101157,Gesundheit,denmark,Branded Data > Nordic Data Resources > Denmark > Interests > Interested in Weightloss (Power Reach) (BlueKai),(over)?weight( loss)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > interests > interested in weightloss (power reach)
11155830,Gesundheit,denmark,Branded Data > Nordic Data Resources > Denmark > Interests > Interested in Weightloss (Super Target) (BlueKai),(over)?weight( loss)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > interests > interested in weightloss (super target)
13723906,Gesundheit,denmark,GfK > DK > Purchasing Power for Retail Product Lines > Alcoholic beverages > 3: High (adsquare),alcohol,Adsquare (Data Provider),2711,gfk > dk > purchasing power for retail product lines > alcoholic beverages > 3: high
13723914,Gesundheit,denmark,GfK > DK > Purchasing Power for Retail Product Lines > Tobacco products > 3: High (adsquare),tobacco,Adsquare (Data Provider),2711,gfk > dk > purchasing power for retail product lines > tobacco products > 3: high
21019194,Gesundheit,finland,Eyeota - FI NDR - 21 Kantar Mind - Kantar Mind Lifestyle - Kantar Quit smoking,smok(ing|er),Eyeota,1706,eyeota - fi ndr - 21 kantar mind - kantar mind lifestyle - kantar quit smoking
13722605,Gesundheit,finland,GfK > FI > Purchasing Power for Retail Product Lines > Alcoholic beverages > 3: High (adsquare),alcohol,Adsquare (Data Provider),2711,gfk > fi > purchasing power for retail product lines > alcoholic beverages > 3: high
13722589,Gesundheit,finland,GfK > FI > Purchasing Power for Retail Product Lines > Tobacco products > 3: High (adsquare),tobacco,Adsquare (Data Provider),2711,gfk > fi > purchasing power for retail product lines > tobacco products > 3: high
13716567,Gesundheit,france,Fidall > FR > Pharmacy product buyers > La Ligue Contre le Cancer (adsquare),cancer,Adsquare (Data Provider),2711,fidall > fr > pharmacy product buyers > la ligue contre le cancer
13720353,Gesundheit,france,Fidall > FR > Retailers customers > WeightWatchers (adsquare),(over)?weight( loss)?,Adsquare (Data Provider),2711,fidall > fr > retailers customers > weightwatchers
4072998,Gesundheit,france,International_EU - France Dieting and Weight Loss (Lotame),(over)?weight( loss)?,Lotame,422,international_eu - france dieting and weight loss
18648965,Gesundheit,france,Nielsen France - Social - Lifestyle - Weight Loss,(over)?weight( loss)?,Nielsen Marketing Cloud,39,nielsen france - social - lifestyle - weight loss
8576938,Gesundheit,france,Oracle Country-Specific Audiences > France (FR) > Hobbies and Interests (Affinity) > Health and Fitness > Wellness > Dieting and Weight Loss (BlueKai),(over)?weight( loss)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,oracle country-specific audiences > france (fr) > hobbies and interests (affinity) > health and fitness > wellness > dieting and weight loss
15035558,Gesundheit,france,The Weather Channel (IBM) > France Weather Conditions > Arthritis Symptoms,arthritis,"The Weather Channel, LLC",2001,the weather channel (ibm) > france weather conditions > arthritis symptoms
15035559,Gesundheit,france,The Weather Channel (IBM) > France Weather Conditions > Asthma Symptoms,asthma,"The Weather Channel, LLC",2001,the weather channel (ibm) > france weather conditions > asthma symptoms
15035561,Gesundheit,france,The Weather Channel (IBM) > France Weather Conditions > Migraines Symptoms,migraine,"The Weather Channel, LLC",2001,the weather channel (ibm) > france weather conditions > migraines symptoms
25419978,Gesundheit,germany,Adsquare Data Alliance > DE > Place Visits > By Brand > Shopping > Consumer Goods > Specialty Store > Amplifon (adsquare),shopp(er|ing),Adsquare (Data Provider),2711,adsquare data alliance > de > place visits > by brand > shopping > consumer goods > specialty store > amplifon
15669630,Gesundheit,germany,Custom Segments > ADEX|Germany|gutefrage|Interests|HealthyLiving|AlternativeMedicine,medic(al|ine),The ADEX GmbH,2245,custom segments > adex|germany|gutefrage|interests|healthyliving|alternativemedicine
15669634,Gesundheit,germany,Custom Segments > ADEX|Germany|gutefrage|Interests|HealthyLiving|WeightLoss,(over)?weight( loss)?,The ADEX GmbH,2245,custom segments > adex|germany|gutefrage|interests|healthyliving|weightloss
21790035,Gesundheit,germany,Eyeota - MiQ - DE Kantar Media TGI - Lifestyle - Has Tried To Give Up Smoking In Last 12 Months,smok(ing|er),Eyeota,1706,eyeota - miq - de kantar media tgi - lifestyle - has tried to give up smoking in last 12 months
21790040,Gesundheit,germany,Eyeota - MiQ - DE Kantar Media TGI - Lifestyle - Smoker,smok(ing|er),Eyeota,1706,eyeota - miq - de kantar media tgi - lifestyle - smoker
13723298,Gesundheit,germany,GfK > DE > Purchasing Power for Retail Product Lines > Other alcoholic beverages > 3: High (adsquare),alcohol,Adsquare (Data Provider),2711,gfk > de > purchasing power for retail product lines > other alcoholic beverages > 3: high
13722782,Gesundheit,germany,GfK > DE > Purchasing Power for Retail Product Lines > Tobacco products > 3: High (adsquare),tobacco,Adsquare (Data Provider),2711,gfk > de > purchasing power for retail product lines > tobacco products > 3: high
4074148,Gesundheit,germany,International_EU - Germany Dieting and Weight Loss (Lotame),(over)?weight( loss)?,Lotame,422,international_eu - germany dieting and weight loss
8576955,Gesundheit,germany,Oracle Country-Specific Audiences > Germany (DE) > Hobbies and Interests (Affinity) > Health and Fitness > Wellness > Dieting and Weight Loss (BlueKai),(over)?weight( loss)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,oracle country-specific audiences > germany (de) > hobbies and interests (affinity) > health and fitness > wellness > dieting and weight loss
15036211,Gesundheit,germany,The Weather Channel (IBM) > Germany Weather Conditions > Arthritis Symptoms,arthritis,"The Weather Channel, LLC",2001,the weather channel (ibm) > germany weather conditions > arthritis symptoms
15036212,Gesundheit,germany,The Weather Channel (IBM) > Germany Weather Conditions > Asthma Symptoms,asthma,"The Weather Channel, LLC",2001,the weather channel (ibm) > germany weather conditions > asthma symptoms
7654229,Gesundheit,germany,The Weather Channel (IBM) > Germany Weather Conditions > Migraines Symptoms,migraine,"The Weather Channel, LLC",2001,the weather channel (ibm) > germany weather conditions > migraines symptoms
15043855,Gesundheit,germany,zeotap > Germany > Interest > Smokers,smok(ing|er),ZeoTap,7733,zeotap > germany > interest > smokers
13773374,Gesundheit,italy,Data Owners > KetchUP ADV > IT > INTENT Family & Parenting > Intent Adoption,parent(hood)?,Audiens S.R.L.,3847,data owners > ketchup adv > it > intent family & parenting > intent adoption
13597917,Gesundheit,italy,Data Owners > KetchUP ADV > IT > INTENT Family & Parenting > Intent Babies & Toddlers,parent(hood)?,Audiens S.R.L.,3847,data owners > ketchup adv > it > intent family & parenting > intent babies & toddlers
4075166,Gesundheit,italy,International_EU - Italy Dieting and Weight Loss (Lotame),(over)?weight( loss)?,Lotame,422,international_eu - italy dieting and weight loss
13725594,Gesundheit,italy,Mobilewalla > IT > Health &amp; Fitness > Diet and Weight Loss (adsquare),(over)?weight( loss)?,Adsquare (Data Provider),2711,mobilewalla > it > health &amp;  fitness > diet and weight loss
8576972,Gesundheit,italy,Oracle Country-Specific Audiences > Italy (IT) > Hobbies and Interests (Affinity) > Health and Fitness > Wellness > Dieting and Weight Loss (BlueKai),(over)?weight( loss)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,oracle country-specific audiences > italy (it) > hobbies and interests (affinity) > health and fitness > wellness > dieting and weight loss
18282951,Gesundheit,italy,zeotap > Italy > Purchase Intent > Weightloss,(over)?weight( loss)?,ZeoTap,7733,zeotap > italy > purchase intent > weightloss
21670217,Gesundheit,spain,"Audience 78463, ES > Cosmetic surgery",surgery,Weborama SA (Data Provider),1211,"audience 78463, es > cosmetic surgery"
8255413,Gesundheit,spain,Experian SP - FMCG - Cigarettes Smoker (Exelate),smok(ing|er),Nielsen Marketing Cloud,39,experian sp - fmcg - cigarettes smoker
13723775,Gesundheit,spain,GfK > ES > Purchasing Power for Retail Product Lines > Alcoholic beverages > 3: High (adsquare),alcohol,Adsquare (Data Provider),2711,gfk > es > purchasing power for retail product lines > alcoholic beverages > 3: high
13723818,Gesundheit,spain,GfK > ES > Purchasing Power for Retail Product Lines > Tobacco products > 3: High (adsquare),tobacco,Adsquare (Data Provider),2711,gfk > es > purchasing power for retail product lines > tobacco products > 3: high
4070362,Gesundheit,spain,International_EU - Spain Dieting and Weight Loss (Lotame),(over)?weight( loss)?,Lotame,422,international_eu - spain dieting and weight loss
13725276,Gesundheit,spain,Mobilewalla > ES > Health & fitness > Diet and Weight Loss (adsquare),(over)?weight( loss)?,Adsquare (Data Provider),2711,mobilewalla > es > health & fitness > diet and weight loss
