id,category,country,segment_name,hit,provider_name,provider_id,name_processed
25421542,Kinder,austria,Adsquare Data Alliance > AT > Place Visits > By Brand > Shopping > Clothing and Accessories > Children's Apparel > C&A (adsquare),shopp(er|ing),Adsquare (Data Provider),2711,adsquare data alliance > at > place visits > by brand > shopping > clothing and accessories > children's apparel > c&a
25422276,Kinder,austria,Adsquare Data Alliance > AT > Place Visits > By Category > Shopping > Clothing and Accessories > Children's Apparel (adsquare),shopp(er|ing),Adsquare (Data Provider),2711,adsquare data alliance > at > place visits > by category > shopping > clothing and accessories > children's apparel
4027700,Kinder,austria,International_EU - Austria Parenting (Lotame),parent(hood)?,Lotame,422,international_eu - austria parenting
18352024,Kinder,austria,Semasio - AT: Classic Extended Audience - Fashion & Shopping - Interest in Children's Fashion,shopp(er|ing),Semasio GmbH (Data Provider),2942,semasio - at: classic extended audience - fashion & shopping - interest in children's fashion
25423893,Kinder,belgium,Adsquare Data Alliance > BE > Demographics > Family &amp; Marital Status > Parents > Fathers (adsquare),parent(hood)?,Adsquare (Data Provider),2711,adsquare data alliance > be > demographics > family &amp;  marital status > parents > fathers
25421681,Kinder,belgium,Adsquare Data Alliance > BE > Place Visits > By Brand > Shopping > Clothing and Accessories > Children's Apparel > CKS (adsquare),shopp(er|ing),Adsquare (Data Provider),2711,adsquare data alliance > be > place visits > by brand > shopping > clothing and accessories > children's apparel > cks
2151638,Kinder,belgium,International_EU - Belgium Parenting (Lotame),parent(hood)?,Lotame,422,international_eu - belgium parenting
23680162,Kinder,belgium,iRobot - Parents  - Belgium (adsquare),parent(hood)?,Adsquare (Data Provider),2711,irobot - parents  - belgium
23720457,Kinder,belgium,Lotame > Custom > BE > Parents,parent(hood)?,Lotame,422,lotame > custom > be > parents
24967903,Kinder,croatia,Start.io > HR > Custom > Redview Media > StartApp_Moms Croatia (adsquare),m[ou]ms?,Adsquare (Data Provider),2711,start.io > hr > custom > redview media > startapp_moms croatia
22218897,Kinder,croatia,StartApp_Moms Croatia (adsquare),m[ou]ms?,Adsquare (Data Provider),2711,startapp_moms croatia
