id,category,country,segment_name,hit,provider_name,provider_id,name_processed
11156468,Religion,denmark,"Branded Data > Nordic Data Resources > Denmark > Interests > Interested in Spiritual, Religious (Super Target) (BlueKai)",spiritual,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,"branded data > nordic data resources > denmark > interests > interested in spiritual, religious (super target) "
15731819,Religion,denmark,"Eyeota - DK NDR - 08 Interests - Interested In Spiritual, Religious (Super Target)",spiritual,Eyeota,1706,"eyeota - dk ndr - 08 interests - interested in spiritual, religious "
19037820,Religion,finland,Eyeota - FI NDR - Insight360 - Values360 - 3 Spiritual and religious well-doers,spiritual,Eyeota,1706,eyeota - fi ndr - insight360 - values360 - 3 spiritual and religious well-doers
15669666,Religion,germany,Custom Segments > ADEX|Germany|gutefrage|Interests|ReligionAndSpirituality,religio(n|ous),The ADEX GmbH,2245,custom segments > adex|germany|gutefrage|interests|religionandspirituality
19266320,Religion,germany,Custom Segments > Schober B2B Mobile Data Germany - Churches and Religious Groups - 1st and 2nd Management Level - GPS Data,church,The ADEX GmbH,2245,custom segments > schober b2b mobile data germany - churches and religious groups - 1st and 2nd management level - gps data
11507350,Religion,greece,180byTWO > B2C > Web > Religion > Greek Orthodox,religio(n|ous),LiveRamp Data Store,8082,180bytwo > b2c > web > religion > greek orthodox
9899640,Religion,greece,180byTWO > Cookie > B2C > Religion > Greek Orthodox,religio(n|ous),LiveRamp Data Store,8082,180bytwo > cookie > b2c > religion > greek orthodox
9910923,Religion,greece,BusinessWatch Network > B2C > Religion > Greek Orthodox,religio(n|ous),LiveRamp Data Store,8082,businesswatch network > b2c > religion > greek orthodox
18502938,Religion,greece,Datastream Group>Religion>Greek Orthodox,religio(n|ous),LiveRamp Data Store,8082,datastream group>religion>greek orthodox
10047331,Religion,greece,Epsilon: Demographics > Religion > Greek Orthodox,religio(n|ous),"Epsilon Data Management, LLC.",7246,epsilon: demographics > religion > greek orthodox
9900856,Religion,greece,Infogroup > B2C > Demographics > Religion > Greek Orthodox,religio(n|ous),LiveRamp Data Store,8082,infogroup > b2c > demographics > religion > greek orthodox
25995893,Religion,greece,Skydeo > Demographics > Religion > Greek Orthodox,religio(n|ous),"Skydeo, Inc.",10294,skydeo > demographics > religion > greek orthodox
13889597,Religion,greece,truoptik>webbula>demographics>religion > greek orthodox,religio(n|ous),Tru Optik (CTV),8808,truoptik>webbula>demographics>religion > greek orthodox
9905053,Religion,greece,Webbula > Demographic > Individual > Religion > Greek Orthodox,religio(n|ous),LiveRamp Data Store,8082,webbula > demographic > individual > religion > greek orthodox
24625150,Religion,portugal,Lifestyle > Faith > UK & Portugal Christianity - Extended Scale (Dstillery),faith,Dstillery,9415,lifestyle > faith > uk & portugal christianity - extended scale
24625040,Religion,portugal,Lifestyle > Faith > UK & Portugal Christianity - Extreme Confidence (Dstillery),faith,Dstillery,9415,lifestyle > faith > uk & portugal christianity - extreme confidence
8013244,Religion,sweden,Branded Data > Nordic Data Resources > Sweden > Super Target > Interests > Religion (BlueKai),religio(n|ous),"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > sweden > super target > interests > religion
