id,category,country,segment_name,hit,provider_name,provider_id,name_processed
15101870,persönliche Schwächen,denmark,Branded Data > Nordic Data Resources > Denmark > Shopping > Often Influenced By Advertising (Power Reach) (BlueKai),shopp(er|ing),"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > shopping > often influenced by advertising (power reach)
13229124,persönliche Schwächen,france,adsquare Data Alliance > FR > Demographics > Marital Status > Divorced (adsquare),divorce,Adsquare (Data Provider),2711,adsquare data alliance > fr > demographics > marital status > divorced
2638996,persönliche Schwächen,france,"Experian FR - Mosaic - Day-to-day Strugglers - Uncertainty, Unncessary Expenses and TV (Exelate)",struggl(ing|er),Nielsen Marketing Cloud,39,"experian fr - mosaic - day-to-day strugglers - uncertainty, unncessary expenses and tv "
13717427,persönliche Schwächen,france,Fidall > FR > Retailers customers > Sexy Center (adsquare),sex,Adsquare (Data Provider),2711,fidall > fr > retailers customers > sexy center
4073729,persönliche Schwächen,france,International_EU - France Relationship Status - Divorced (Lotame),divorce,Lotame,422,international_eu - france relationship status - divorced
13714403,persönliche Schwächen,germany,AZ Direct > DE > AZ Target Groups > Insurance > individualistic about risk-taking (adsquare),insurance,Adsquare (Data Provider),2711,az direct > de > az target groups > insurance > individualistic about risk-taking
4074651,persönliche Schwächen,germany,International_EU - Germany Relationship Status - Divorced (Lotame),divorce,Lotame,422,international_eu - germany relationship status - divorced
4075657,persönliche Schwächen,italy,International_EU - Italy Relationship Status - Divorced (Lotame),divorce,Lotame,422,international_eu - italy relationship status - divorced
8255396,persönliche Schwächen,spain,Experian SP - Financial - Unqualified Credit Consumer (Exelate),credit ?(level|score|crunched)?,Nielsen Marketing Cloud,39,experian sp - financial - unqualified credit consumer
22180698,persönliche Schwächen,spain,Eyeota - ES Experian - Sociodemographic - Financial Segmentation - SF1 - Non Experienced Credit Consumers,credit ?(level|score|crunched)?,Eyeota,1706,eyeota - es experian - sociodemographic - financial segmentation - sf1 - non experienced credit consumers
4071341,persönliche Schwächen,spain,International_EU - Spain Relationship Status - Divorced (Lotame),divorce,Lotame,422,international_eu - spain relationship status - divorced
