id,category,country,segment_name,hit,provider_name,provider_id,name_processed
15103413,politische Meinungen,denmark,Branded Data > Nordic Data Resources > Denmark > Shopping > Conscious About CO2 Emission (Power Reach) (BlueKai),shopp(er|ing),"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > shopping > conscious about co2 emission (power reach)
11153328,politische Meinungen,denmark,Branded Data > Nordic Data Resources > Denmark > Shopping > Conscious About CO2 Emission (Super Target) (BlueKai),shopp(er|ing),"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > shopping > conscious about co2 emission (super target)
15101476,politische Meinungen,denmark,Branded Data > Nordic Data Resources > Denmark > Shopping > Environmental Products (Power Reach) (BlueKai),shopp(er|ing),"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > shopping > environmental products (power reach)
11154529,politische Meinungen,denmark,Branded Data > Nordic Data Resources > Denmark > Shopping > Environmental Products (Super Target) (BlueKai),shopp(er|ing),"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > shopping > environmental products (super target)
15102427,politische Meinungen,denmark,Branded Data > Nordic Data Resources > Denmark > Shopping > Prefers Ecological Groceries (Power Reach) (BlueKai),shopp(er|ing),"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > shopping > prefers ecological groceries (power reach)
18059898,politische Meinungen,denmark,Eyeota - DK NDR - 08 Kantar-Gallup Interests - Interested in: Equality,equality,Eyeota,1706,eyeota - dk ndr - 08 kantar-gallup interests - interested in: equality
2638986,politische Meinungen,france,Experian FR - Mosaic - Blue-collar Heritage - Families in Traditional Mining and Coal Industries (Exelate),tradition,Nielsen Marketing Cloud,39,experian fr - mosaic - blue-collar heritage - families in traditional mining and coal industries
2639005,politische Meinungen,france,"Experian FR - Mosaic - Mature Couples and Seniors - Mature Couples, Comfort and Tradition (Exelate)",tradition,Nielsen Marketing Cloud,39,"experian fr - mosaic - mature couples and seniors - mature couples, comfort and tradition"
2639024,politische Meinungen,france,Experian FR - Mosaic - Traditional Countryside (Exelate),tradition,Nielsen Marketing Cloud,39,experian fr - mosaic - traditional countryside
21019472,politische Meinungen,france,Eyeota - FR Experian - Mosaic Group - M Traditional Countryside,tradition,Eyeota,1706,eyeota - fr experian - mosaic group - m traditional countryside
21019528,politische Meinungen,france,Eyeota - FR Experian - Mosaic Type - G30 Families in traditional mining and coal industries,tradition,Eyeota,1706,eyeota - fr experian - mosaic type - g30 families in traditional mining and coal industries
21019544,politische Meinungen,france,"Eyeota - FR Experian - Mosaic Type - K45 Mature couples, comfort and tradition",tradition,Eyeota,1706,"eyeota - fr experian - mosaic type - k45 mature couples, comfort and tradition"
21780009,politische Meinungen,france,Eyeota - MiQ - FR Experian - Mosaic Group - M Traditional Countryside,tradition,Eyeota,1706,eyeota - miq - fr experian - mosaic group - m traditional countryside
21780121,politische Meinungen,france,Eyeota - MiQ - FR Experian - Mosaic Type - G30 Families in traditional mining and coal industries,tradition,Eyeota,1706,eyeota - miq - fr experian - mosaic type - g30 families in traditional mining and coal industries
21780233,politische Meinungen,france,"Eyeota - MiQ - FR Experian - Mosaic Type - K45 Mature couples, comfort and tradition",tradition,Eyeota,1706,"eyeota - miq - fr experian - mosaic type - k45 mature couples, comfort and tradition"
4072934,politische Meinungen,france,International_EU - France Environmentalism (Lotame),(?!environ)mental,Lotame,422,international_eu - france environmentalism
14760010,politische Meinungen,germany,Acxiom Germany > Consuming & Lifestyle > Charity Cause > 06: Environment,environment(al)?,LiveRamp Data Store,8082,acxiom germany > consuming & lifestyle > charity cause > 06: environment
13714531,politische Meinungen,germany,AZ Direct > DE > Lifestyle > Affinities > Social-minded (adsquare),social,Adsquare (Data Provider),2711,az direct > de > lifestyle > affinities > social-minded
13713957,politische Meinungen,germany,AZ Direct > DE > Lifestyle > Affinities > Traditional (adsquare),tradition,Adsquare (Data Provider),2711,az direct > de > lifestyle > affinities > traditional
13714019,politische Meinungen,germany,AZ Direct > DE > Retail > Customer-Journey-Typology > traditionalist in advertisings and consumpti (adsquare),tradition,Adsquare (Data Provider),2711,az direct > de > retail > customer-journey-typology > traditionalist in advertisings and consumpti
3577258,politische Meinungen,germany,Eyeota - DE Experian - Sociodemographic - Consumer Typology - Conservative Values,conservative,Eyeota,1706,eyeota - de experian - sociodemographic - consumer typology - conservative values
21779780,politische Meinungen,germany,Eyeota - MiQ - DE Experian - Sociodemographic - Consumer Typology - Conservative Values,conservative,Eyeota,1706,eyeota - miq - de experian - sociodemographic - consumer typology - conservative values
4074081,politische Meinungen,germany,International_EU - Germany Environmentalism (Lotame),(?!environ)mental,Lotame,422,international_eu - germany environmentalism
11119912,politische Meinungen,germany,KBM Group - Germany - AZ Direct | Psychological Values | Psychological Values | Traditional - high affinity,psych(olog|iatr),KBM Group,957,kbm group - germany - az direct | psychological values | psychological values | traditional - high affinity
11119863,politische Meinungen,germany,KBM Group - Germany - AZ Direct | Psychological Values | Psychological Values | Traditional - low affinity,psych(olog|iatr),KBM Group,957,kbm group - germany - az direct | psychological values | psychological values | traditional - low affinity
11053918,politische Meinungen,germany,KBM Group - Germany - microm Data | microm Cars and Mobility | Car Owner Typology | Conservative Lower Middle-Class Driver,conservative,KBM Group,957,kbm group - germany - microm data | microm cars and mobility | car owner typology | conservative lower middle-class driver
