id,category,country,segment_name,hit,provider_name,provider_id,name_processed
11156742,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Household Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > household income
15102661,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Household Income > 300-699.999 DKK (Power Reach) (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > household income > 300-699.999 dkk (power reach)
11157242,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Household Income > 300-699.999 DKK (Super Target) (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > household income > 300-699.999 dkk (super target)
15101406,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Household Income > 700-999.999 DKK (Power Reach) (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > household income > 700-999.999 dkk (power reach)
11153573,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Household Income > 700-999.999 DKK (Super Target) (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > household income > 700-999.999 dkk (super target)
11153106,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Household Income > Elite (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > household income > elite
11154469,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Household Income > High (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > household income > high
15101320,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Household Income > Less than 300.000 DKK (Power Reach) (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > household income > less than 300.000 dkk (power reach)
11156104,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Household Income > Less than 300.000 DKK (Super Target) (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > household income > less than 300.000 dkk (super target)
11153682,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Household Income > Low (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > household income > low
11154020,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Household Income > Medium (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > household income > medium
15101308,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Household Income > Over 1 Million DKK (Power Reach) (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > household income > over 1 million dkk (power reach)
11156575,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Household Income > Over 1 Million DKK (Super Target) (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > household income > over 1 million dkk (super target)
11155306,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Insurance > Has a Private Health Insurance (Super Target) (BlueKai),insurance,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > insurance > has a private health insurance (super target)
15102737,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Insurance > Has an Unemployment Insurance (Power Reach) (BlueKai),insurance,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > insurance > has an unemployment insurance (power reach)
11154777,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Insurance > Has an Unemployment Insurance (Super Target) (BlueKai),insurance,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > insurance > has an unemployment insurance (super target)
11155101,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Economy > Insurance > No Unemployment Insurance (Super Target) (BlueKai),insurance,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > economy > insurance > no unemployment insurance (super target)
11155505,Finanzstatus,denmark,"Branded Data > Nordic Data Resources > Denmark > Online Mosaic > New 2017 Mosaic > (B) Modern, Married & Affluent (BlueKai)",affluent,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,"branded data > nordic data resources > denmark > online mosaic > new 2017 mosaic > (b) modern, married & affluent"
8012492,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Power Reach > Financial Services > Wealthy (BlueKai),wealth(y|iest),"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > power reach > financial services > wealthy
8011062,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Power Reach > Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > power reach > income
8012505,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Power Reach > Income > Elite (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > power reach > income > elite
8012504,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Power Reach > Income > High (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > power reach > income > high
8012511,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Power Reach > Income > Medium (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > power reach > income > medium
8012510,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Power Reach > Income > Modest (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > power reach > income > modest
15102369,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Shopping > Shops Luxury Products (Power Reach) (BlueKai),luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > shopping > shops luxury products (power reach)
11154134,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Shopping > Shops Luxury Products (Super Target) (BlueKai),luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > shopping > shops luxury products (super target)
8012538,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Super Target > Cars > Luxury Cars (BlueKai),luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > super target > cars > luxury cars
8012563,Finanzstatus,denmark,Branded Data > Nordic Data Resources > Denmark > Super Target > Loans & Pensions > Loans & Credit (BlueKai),credit ?(level|score|crunched)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > denmark > super target > loans & pensions > loans & credit
7518146,Finanzstatus,denmark,Branded Data > Semasio > Denmark > Interest > Automotive > Luxury (BlueKai),luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > semasio > denmark > interest > automotive > luxury
7518156,Finanzstatus,denmark,Branded Data > Semasio > Denmark > Interest > Luxury Products (BlueKai),luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > semasio > denmark > interest > luxury products
15675619,Finanzstatus,denmark,Eyeota - DK NDR - 01 Online Cameo - 03 Affluent Communities,affluent,Eyeota,1706,eyeota - dk ndr - 01 online cameo - 03 affluent communities
15675661,Finanzstatus,denmark,Eyeota - DK NDR - 01 Online Cameo - 06 Middle Income Households,income,Eyeota,1706,eyeota - dk ndr - 01 online cameo - 06 middle income households
15675746,Finanzstatus,denmark,"Eyeota - DK NDR - 01 Online Mosaic - (B) Modern, Married And Affluent",affluent,Eyeota,1706,"eyeota - dk ndr - 01 online mosaic - (b) modern, married and affluent"
17575875,Finanzstatus,denmark,Eyeota - DK NDR - 011 NDR International - A1 Less Affluent Pre-Family Couples And Singles,affluent,Eyeota,1706,eyeota - dk ndr - 011 ndr international - a1 less affluent pre-family couples and singles
17575872,Finanzstatus,denmark,Eyeota - DK NDR - 011 NDR International - A4 Less Affluent Mature Families And Couples In Retirement,retir(ement|int|ee),Eyeota,1706,eyeota - dk ndr - 011 ndr international - a4 less affluent mature families and couples in retirement
17575876,Finanzstatus,denmark,Eyeota - DK NDR - 011 NDR International - B4 Comfortable Mature Families And Couples In Retirement,retir(ement|int|ee),Eyeota,1706,eyeota - dk ndr - 011 ndr international - b4 comfortable mature families and couples in retirement
17575879,Finanzstatus,denmark,Eyeota - DK NDR - 011 NDR International - C4 Prosperous Mature Families And Couples In Retirement,retir(ement|int|ee),Eyeota,1706,eyeota - dk ndr - 011 ndr international - c4 prosperous mature families and couples in retirement
17575896,Finanzstatus,denmark,Eyeota - DK NDR - 04 Economy - 1 Modest Income Families,income,Eyeota,1706,eyeota - dk ndr - 04 economy - 1 modest income families
17575903,Finanzstatus,denmark,Eyeota - DK NDR - 04 Economy - 2 Less Affluent Families,affluent,Eyeota,1706,eyeota - dk ndr - 04 economy - 2 less affluent families
