id,category,country,segment_name,hit,provider_name,provider_id,name_processed
10178607,Finanzstatus,finland,Branded Data > Mobilewalla > Finland > General Demography > Average Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > mobilewalla > finland > general demography > average income
10179260,Finanzstatus,finland,Branded Data > Mobilewalla > Finland > General Demography > High Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > mobilewalla > finland > general demography > high income
10177831,Finanzstatus,finland,Branded Data > Mobilewalla > Finland > General Demography > Low Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > mobilewalla > finland > general demography > low income
15103213,Finanzstatus,finland,Branded Data > Nordic Data Resources > Finland > Automotive > Car Segment > F: Luxury Cars (Power Reach) (BlueKai),luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > automotive > car segment > f: luxury cars (power reach)
11156339,Finanzstatus,finland,Branded Data > Nordic Data Resources > Finland > Automotive > Car Segment > F: Luxury Cars (Super Target) (BlueKai),luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > automotive > car segment > f: luxury cars (super target)
15102145,Finanzstatus,finland,Branded Data > Nordic Data Resources > Finland > Economy > High Income (Power Reach) (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > economy > high income (power reach)
11154753,Finanzstatus,finland,Branded Data > Nordic Data Resources > Finland > Economy > High Income (Super Target) (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > economy > high income (super target)
15101952,Finanzstatus,finland,Branded Data > Nordic Data Resources > Finland > Economy > Low Income (Power Reach) (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > economy > low income (power reach)
11154733,Finanzstatus,finland,Branded Data > Nordic Data Resources > Finland > Economy > Low Income (Super Target) (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > economy > low income (super target)
15101985,Finanzstatus,finland,Branded Data > Nordic Data Resources > Finland > Economy > Medium Income (Power Reach) (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > economy > medium income (power reach)
11157002,Finanzstatus,finland,Branded Data > Nordic Data Resources > Finland > Economy > Medium Income (Super Target) (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > economy > medium income (super target)
8012576,Finanzstatus,finland,Branded Data > Nordic Data Resources > Finland > Power Reach > Financial Services > Wealthy (BlueKai),wealth(y|iest),"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > power reach > financial services > wealthy
8012615,Finanzstatus,finland,Branded Data > Nordic Data Resources > Finland > Super Target > Economy > Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > super target > economy > income
8013377,Finanzstatus,finland,Branded Data > Nordic Data Resources > Finland > Super Target > Economy > Income > High Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > super target > economy > income > high income
8013371,Finanzstatus,finland,Branded Data > Nordic Data Resources > Finland > Super Target > Economy > Income > Medium Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > super target > economy > income > medium income
8013358,Finanzstatus,finland,Branded Data > Nordic Data Resources > Finland > Super Target > Economy > Income > Modest Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > super target > economy > income > modest income
17576011,Finanzstatus,finland,Eyeota - FI NDR - 01 Cameo Groups - 01 Wealthy Elite,wealth(y|iest),Eyeota,1706,eyeota - fi ndr - 01 cameo groups - 01 wealthy elite
17576003,Finanzstatus,finland,Eyeota - FI NDR - 01 Cameo Groups - 02 Affluent Professionals,affluent,Eyeota,1706,eyeota - fi ndr - 01 cameo groups - 02 affluent professionals
17576013,Finanzstatus,finland,Eyeota - FI NDR - 01 Cameo Groups - 10 Less Affluent Society,affluent,Eyeota,1706,eyeota - fi ndr - 01 cameo groups - 10 less affluent society
17576002,Finanzstatus,finland,Eyeota - FI NDR - 02 NDR International - A1 Less Affluent Pre-Family Couples And Singles,affluent,Eyeota,1706,eyeota - fi ndr - 02 ndr international - a1 less affluent pre-family couples and singles
17576023,Finanzstatus,finland,Eyeota - FI NDR - 02 NDR International - A4 Less Affluent Mature Families And Couples In Retirement,retir(ement|int|ee),Eyeota,1706,eyeota - fi ndr - 02 ndr international - a4 less affluent mature families and couples in retirement
17576024,Finanzstatus,finland,Eyeota - FI NDR - 02 NDR International - B4 Comfortable Mature Families And Couples In Retirement,retir(ement|int|ee),Eyeota,1706,eyeota - fi ndr - 02 ndr international - b4 comfortable mature families and couples in retirement
17576020,Finanzstatus,finland,Eyeota - FI NDR - 02 NDR International - C4 Prosperous Mature Families And Couples In Retirement,retir(ement|int|ee),Eyeota,1706,eyeota - fi ndr - 02 ndr international - c4 prosperous mature families and couples in retirement
15735248,Finanzstatus,finland,Eyeota - FI NDR - 04 Economy - 1 Modest Income (Super Target),income,Eyeota,1706,eyeota - fi ndr - 04 economy - 1 modest income
15735196,Finanzstatus,finland,Eyeota - FI NDR - 04 Economy - 1 Modest Income (Power Reach),income,Eyeota,1706,eyeota - fi ndr - 04 economy - 1 modest income
17576021,Finanzstatus,finland,Eyeota - FI NDR - 04 Economy - 1 Modest Income Families,income,Eyeota,1706,eyeota - fi ndr - 04 economy - 1 modest income families
17576048,Finanzstatus,finland,Eyeota - FI NDR - 04 Economy - 2 Less Affluent Families,affluent,Eyeota,1706,eyeota - fi ndr - 04 economy - 2 less affluent families
15735247,Finanzstatus,finland,Eyeota - FI NDR - 04 Economy - 2 Medium Income (Super Target),income,Eyeota,1706,eyeota - fi ndr - 04 economy - 2 medium income
15735239,Finanzstatus,finland,Eyeota - FI NDR - 04 Economy - 3 High Income (Power Reach),income,Eyeota,1706,eyeota - fi ndr - 04 economy - 3 high income
17576044,Finanzstatus,finland,Eyeota - FI NDR - 04 Economy - 5 Wealthy Families,wealth(y|iest),Eyeota,1706,eyeota - fi ndr - 04 economy - 5 wealthy families
21019194,Gesundheit,finland,Eyeota - FI NDR - 21 Kantar Mind - Kantar Mind Lifestyle - Kantar Quit smoking,smok(ing|er),Eyeota,1706,eyeota - fi ndr - 21 kantar mind - kantar mind lifestyle - kantar quit smoking
13722605,Gesundheit,finland,GfK > FI > Purchasing Power for Retail Product Lines > Alcoholic beverages > 3: High (adsquare),alcohol,Adsquare (Data Provider),2711,gfk > fi > purchasing power for retail product lines > alcoholic beverages > 3: high
13722589,Gesundheit,finland,GfK > FI > Purchasing Power for Retail Product Lines > Tobacco products > 3: High (adsquare),tobacco,Adsquare (Data Provider),2711,gfk > fi > purchasing power for retail product lines > tobacco products > 3: high
10175940,Kinder,finland,Branded Data > Mobilewalla > Finland > General Demography > Young Mothers (BlueKai),mother,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > mobilewalla > finland > general demography > young mothers
11154333,Kinder,finland,Branded Data > Nordic Data Resources > Finland > Family Type > Child (0-17 Yrs) (BlueKai),child(ren)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > family type > child (0-17 yrs)
11154188,Kinder,finland,Branded Data > Nordic Data Resources > Finland > Family Type > Childless Young Couple (-34 Yrs) (BlueKai),child(ren)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > family type > childless young couple (-34 yrs)
11153681,Kinder,finland,Branded Data > Nordic Data Resources > Finland > Family Type > School-Age Child (7-12 Yrs) (BlueKai),child(ren)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > family type > school-age child (7-12 yrs)
11154763,Kinder,finland,Branded Data > Nordic Data Resources > Finland > Family Type > Small Child (Under 3 Yrs) (BlueKai),child(ren)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > family type > small child (under 3 yrs)
11153218,Kinder,finland,Branded Data > Nordic Data Resources > Finland > Family Type > Under-School-Age Child (Under 7 Yrs) (BlueKai),child(ren)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > family type > under-school-age child (under 7 yrs)
11155722,Kinder,finland,Branded Data > Nordic Data Resources > Finland > Household Members > Children Groups (BlueKai),child(ren)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > household members > children groups
15103550,Kinder,finland,Branded Data > Nordic Data Resources > Finland > Household Members > Children Groups > 12 - 17 Years Old (Power Reach) (BlueKai),child(ren)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > household members > children groups > 12 - 17 years old (power reach)
11154985,Kinder,finland,Branded Data > Nordic Data Resources > Finland > Household Members > Children Groups > 12 - 17 Years Old (Super Target) (BlueKai),child(ren)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > household members > children groups > 12 - 17 years old (super target)
15102934,Kinder,finland,Branded Data > Nordic Data Resources > Finland > Household Members > Children Groups > 5 - 11 Years Old (Power Reach) (BlueKai),child(ren)?,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > nordic data resources > finland > household members > children groups > 5 - 11 years old (power reach)
