id,category,country,segment_name,hit,provider_name,provider_id,name_processed
24952572,Finanzstatus,france,adsquare Data Alliance > FR > Black Friday 2020 Audiences > Black Friday 2020 - Luxury Shoppers (adsquare),luxury,Adsquare (Data Provider),2711,adsquare data alliance > fr > black friday 2020 audiences > black friday 2020 - luxury shoppers
24967646,Finanzstatus,france,adsquare Data Alliance > FR > Demographics > Education > No Qualification (adsquare),demograph,Adsquare (Data Provider),2711,adsquare data alliance > fr > demographics > education > no qualification
24967428,Finanzstatus,france,Adsquare Data Alliance > FR > Demographics > Employment Status > Job Seeking (adsquare),demograph,Adsquare (Data Provider),2711,adsquare data alliance > fr > demographics > employment status > job seeking
13229065,Finanzstatus,france,Adsquare Data Alliance > FR > Demographics > Income > High Income (adsquare),income,Adsquare (Data Provider),2711,adsquare data alliance > fr > demographics > income > high income
13229084,Finanzstatus,france,Adsquare Data Alliance > FR > Demographics > Income > Low Income (adsquare),income,Adsquare (Data Provider),2711,adsquare data alliance > fr > demographics > income > low income
13229097,Finanzstatus,france,Adsquare Data Alliance > FR > Demographics > Income > Middle Income (adsquare),income,Adsquare (Data Provider),2711,adsquare data alliance > fr > demographics > income > middle income
13229108,Finanzstatus,france,adsquare Data Alliance > FR > Demographics > Income > Poor (adsquare),poor,Adsquare (Data Provider),2711,adsquare data alliance > fr > demographics > income > poor
13229115,Finanzstatus,france,Adsquare Data Alliance > FR > Demographics > Income > Upper-Middle Income (adsquare),income,Adsquare (Data Provider),2711,adsquare data alliance > fr > demographics > income > upper-middle income
13229129,Finanzstatus,france,adsquare Data Alliance > FR > Demographics > Marital Status > Widowed (adsquare),widow,Adsquare (Data Provider),2711,adsquare data alliance > fr > demographics > marital status > widowed
13227694,Finanzstatus,france,Adsquare Data Alliance > FR > Interests > Style and Fashion > Jewellery and Luxury Watch Buyers (adsquare),luxury,Adsquare (Data Provider),2711,adsquare data alliance > fr > interests > style and fashion > jewellery and luxury watch buyers
13227700,Finanzstatus,france,Adsquare Data Alliance > FR > Interests > Style and Fashion > Luxury Shoppers (adsquare),luxury,Adsquare (Data Provider),2711,adsquare data alliance > fr > interests > style and fashion > luxury shoppers
7521450,Finanzstatus,france,Branded Data > Conexance > France - Conexance Demographics > Lifestyle > Promising active youth > Rich youth in cities (BlueKai),demograph,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > conexance > france - conexance demographics > lifestyle > promising active youth > rich youth in cities
7521447,Finanzstatus,france,Branded Data > Conexance > France - Conexance Demographics > Lifestyle > Promising active youth > Rich youth in paris (BlueKai),demograph,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > conexance > france - conexance demographics > lifestyle > promising active youth > rich youth in paris
7521462,Finanzstatus,france,Branded Data > Conexance > France - Conexance Demographics > Lifestyle > Successful mature families > Upscale neighborhood (BlueKai),demograph,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > conexance > france - conexance demographics > lifestyle > successful mature families > upscale neighborhood
7521467,Finanzstatus,france,Branded Data > Conexance > France - Conexance Demographics > Lifestyle > Successful mature families > Wealthy retirees (BlueKai),wealth(y|iest),"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > conexance > france - conexance demographics > lifestyle > successful mature families > wealthy retirees
7521470,Finanzstatus,france,Branded Data > Conexance > France - Conexance Demographics > Lifestyle > Successful mature families > Workers in comfort (BlueKai),demograph,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > conexance > france - conexance demographics > lifestyle > successful mature families > workers in comfort
9986623,Finanzstatus,france,Branded Data > Factual - Geopulse Audiences > France > Behavioral - Auto > In-Market Auto Intenders - Luxury Cars (BlueKai),luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > factual - geopulse audiences > france > behavioral - auto > in-market auto intenders - luxury cars
9987322,Finanzstatus,france,Branded Data > Factual - Geopulse Audiences > France > Behavioral - Retail > Luxury Goods Shoppers (Affluent Consumer) (BlueKai),luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > factual - geopulse audiences > france > behavioral - retail > luxury goods shoppers (affluent consumer)
7892326,Finanzstatus,france,Branded Data > Mobilewalla > France > General Demography > Average Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > mobilewalla > france > general demography > average income
7892328,Finanzstatus,france,Branded Data > Mobilewalla > France > General Demography > High Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > mobilewalla > france > general demography > high income
7892329,Finanzstatus,france,Branded Data > Mobilewalla > France > General Demography > Low Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > mobilewalla > france > general demography > low income
13715795,Finanzstatus,france,Conexance > FR > Households > Typology > Typology Conexance A > A3 Older retirees Good income (adsquare),retir(ement|int|ee),Adsquare (Data Provider),2711,conexance > fr > households > typology > typology conexance a > a3 older retirees good income
13715753,Finanzstatus,france,Conexance > FR > Households > Typology > Typology Conexance C > G2 Fragile Seniors Retirees over 65 Medium-s (adsquare),retir(ement|int|ee),Adsquare (Data Provider),2711,conexance > fr > households > typology > typology conexance c > g2 fragile seniors retirees over 65 medium-s
13715805,Finanzstatus,france,Conexance > FR > Households > Typology > Typology Conexance G > G2 Fragile Seniors Retirees over 65 Medium-s (adsquare),retir(ement|int|ee),Adsquare (Data Provider),2711,conexance > fr > households > typology > typology conexance g > g2 fragile seniors retirees over 65 medium-s
8614348,Finanzstatus,france,Experian FR - Auto - Manufacturer - Car Positioning - Luxury (Exelate),luxury,Nielsen Marketing Cloud,39,experian fr - auto - manufacturer - car positioning - luxury
2638987,Finanzstatus,france,Experian FR - Mosaic - Blue-collar Heritage - Thrifty Young Parents in Social Housing (Exelate),parent(hood)?,Nielsen Marketing Cloud,39,experian fr - mosaic - blue-collar heritage - thrifty young parents in social housing
2638992,Finanzstatus,france,Experian FR - Mosaic - Connected Cosmopolites - Single Parents in Social Housing (Exelate),parent(hood)?,Nielsen Marketing Cloud,39,experian fr - mosaic - connected cosmopolites - single parents in social housing
2638993,Finanzstatus,france,Experian FR - Mosaic - Day-to-day Strugglers (Exelate),struggl(ing|er),Nielsen Marketing Cloud,39,experian fr - mosaic - day-to-day strugglers
2638995,Finanzstatus,france,"Experian FR - Mosaic - Day-to-day Strugglers - Singles, Unemployment and Social Housing (Exelate)",struggl(ing|er),Nielsen Marketing Cloud,39,"experian fr - mosaic - day-to-day strugglers - singles, unemployment and social housing "
2639026,Finanzstatus,france,Experian FR - Mosaic - Traditional Countryside - Retirement and Widows in the Countryside (Exelate),retir(ement|int|ee),Nielsen Marketing Cloud,39,experian fr - mosaic - traditional countryside - retirement and widows in the countryside
2639028,Finanzstatus,france,Experian FR - Mosaic - Wealthy Suburbs (Exelate),wealth(y|iest),Nielsen Marketing Cloud,39,experian fr - mosaic - wealthy suburbs
2639029,Finanzstatus,france,Experian FR - Mosaic - Wealthy Suburbs - Big Families in Comfort (Exelate),wealth(y|iest),Nielsen Marketing Cloud,39,experian fr - mosaic - wealthy suburbs - big families in comfort
2639030,Finanzstatus,france,Experian FR - Mosaic - Wealthy Suburbs - Digital Families and Income (Exelate),wealth(y|iest),Nielsen Marketing Cloud,39,experian fr - mosaic - wealthy suburbs - digital families and income
2639031,Finanzstatus,france,"Experian FR - Mosaic - Wealthy Suburbs - Mature Couples, Comfort and Financial Assets (Exelate)",wealth(y|iest),Nielsen Marketing Cloud,39,"experian fr - mosaic - wealthy suburbs - mature couples, comfort and financial assets "
2639032,Finanzstatus,france,Experian FR - Mosaic - Wealthy Suburbs - Movie Culture and Hard Discount (Exelate),wealth(y|iest),Nielsen Marketing Cloud,39,experian fr - mosaic - wealthy suburbs - movie culture and hard discount
2639033,Finanzstatus,france,Experian FR - Mosaic - Wealthy Suburbs - Wealthy Eco-friendly Seniors (Exelate),wealth(y|iest),Nielsen Marketing Cloud,39,experian fr - mosaic - wealthy suburbs - wealthy eco-friendly seniors
21019357,Finanzstatus,france,Eyeota - FR Experian - Financial products services - Life insurance,insurance,Eyeota,1706,eyeota - fr experian - financial products services - life insurance
21019414,Finanzstatus,france,Eyeota - FR Experian - Income - From 15 000 to 30 000 Euros,income,Eyeota,1706,eyeota - fr experian - income - from 15 000 to 30 000 euros
21019415,Finanzstatus,france,Eyeota - FR Experian - Income - From 30 000 to 50 000 Euros,income,Eyeota,1706,eyeota - fr experian - income - from 30 000 to 50 000 euros
