id,category,country,segment_name,hit,provider_name,provider_id,name_processed
24952580,Finanzstatus,italy,adsquare Data Alliance > IT > Black Friday 2020 Audiences > Black Friday 2020 - Luxury Shoppers (adsquare),luxury,Adsquare (Data Provider),2711,adsquare data alliance > it > black friday 2020 audiences > black friday 2020 - luxury shoppers
24967432,Finanzstatus,italy,Adsquare Data Alliance > IT > Demographics > Employment > Job Seeking (adsquare),demograph,Adsquare (Data Provider),2711,adsquare data alliance > it > demographics > employment > job seeking
24967348,Finanzstatus,italy,Adsquare Data Alliance > IT > Demographics > Income > High Income (adsquare),income,Adsquare (Data Provider),2711,adsquare data alliance > it > demographics > income > high income
25426501,Finanzstatus,italy,Adsquare Data Alliance > IT > Demographics > Income > Low Income (adsquare),income,Adsquare (Data Provider),2711,adsquare data alliance > it > demographics > income > low income
13829601,Finanzstatus,italy,Adsquare Data Alliance > IT > Interests > Style and Fashion > Jewellery and Luxury Watch Buyers (adsquare),luxury,Adsquare (Data Provider),2711,adsquare data alliance > it > interests > style and fashion > jewellery and luxury watch buyers
13829594,Finanzstatus,italy,Adsquare Data Alliance > IT > Interests > Style and Fashion > Luxury Shoppers (adsquare),luxury,Adsquare (Data Provider),2711,adsquare data alliance > it > interests > style and fashion > luxury shoppers
9987253,Finanzstatus,italy,Branded Data > Factual - Geopulse Audiences > Italy > Behavioral - Auto > In-Market Auto Intenders - Luxury Cars (BlueKai),luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > factual - geopulse audiences > italy > behavioral - auto > in-market auto intenders - luxury cars
9987059,Finanzstatus,italy,Branded Data > Factual - Geopulse Audiences > Italy > Behavioral - Retail > Luxury Goods Shoppers (Affluent Consumer) (BlueKai),luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > factual - geopulse audiences > italy > behavioral - retail > luxury goods shoppers (affluent consumer)
7892632,Finanzstatus,italy,Branded Data > Mobilewalla > Italy > General Demography > Average Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > mobilewalla > italy > general demography > average income
7892626,Finanzstatus,italy,Branded Data > Mobilewalla > Italy > General Demography > High Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > mobilewalla > italy > general demography > high income
7892627,Finanzstatus,italy,Branded Data > Mobilewalla > Italy > General Demography > Low Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > mobilewalla > italy > general demography > low income
15964301,Finanzstatus,italy,Data Owners > Experian IT > Mosaic audiences > Income > FAMILY INCOME: 0 - 15.000,income,Audiens S.R.L.,3847,data owners > experian it > mosaic audiences > income > family income: 0 - 15.000
15963793,Finanzstatus,italy,Data Owners > Experian IT > Mosaic audiences > Income > FAMILY INCOME: 15.000 - 20.000,income,Audiens S.R.L.,3847,data owners > experian it > mosaic audiences > income > family income: 15.000 - 20.000
15964316,Finanzstatus,italy,Data Owners > Experian IT > Mosaic audiences > Income > FAMILY INCOME: 20.000 - 24.000,income,Audiens S.R.L.,3847,data owners > experian it > mosaic audiences > income > family income: 20.000 - 24.000
15964364,Finanzstatus,italy,Data Owners > Experian IT > Mosaic audiences > Income > FAMILY INCOME: 24.000 - 28.000,income,Audiens S.R.L.,3847,data owners > experian it > mosaic audiences > income > family income: 24.000 - 28.000
15964325,Finanzstatus,italy,Data Owners > Experian IT > Mosaic audiences > Income > FAMILY INCOME: 28.000 - 32.000,income,Audiens S.R.L.,3847,data owners > experian it > mosaic audiences > income > family income: 28.000 - 32.000
15963806,Finanzstatus,italy,Data Owners > Experian IT > Mosaic audiences > Income > FAMILY INCOME: 32.000 - 36.000,income,Audiens S.R.L.,3847,data owners > experian it > mosaic audiences > income > family income: 32.000 - 36.000
17657634,Finanzstatus,italy,Data Owners > Experian IT > Mosaic audiences > Income > FAMILY INCOME: 36.000 - 40.000,income,Audiens S.R.L.,3847,data owners > experian it > mosaic audiences > income > family income: 36.000 - 40.000
17657662,Finanzstatus,italy,Data Owners > Experian IT > Mosaic audiences > Income > FAMILY INCOME: 40.000 - 45.000,income,Audiens S.R.L.,3847,data owners > experian it > mosaic audiences > income > family income: 40.000 - 45.000
17657636,Finanzstatus,italy,Data Owners > Experian IT > Mosaic audiences > Income > FAMILY INCOME: 45.000 – 50.000,income,Audiens S.R.L.,3847,data owners > experian it > mosaic audiences > income > family income: 45.000 - 50.000
17657633,Finanzstatus,italy,Data Owners > Experian IT > Mosaic audiences > Income > FAMILY INCOME: > 50.000,income,Audiens S.R.L.,3847,data owners > experian it > mosaic audiences > income > family income: > 50.000
16197114,Finanzstatus,italy,Data Owners > Experian IT > Mosaic audiences > Senior Affluent,affluent,Audiens S.R.L.,3847,data owners > experian it > mosaic audiences > senior affluent
15963801,Finanzstatus,italy,Data Owners > Experian IT > Premium audiences > Income > 0 - 50.000,income,Audiens S.R.L.,3847,data owners > experian it > premium audiences > income > 0 - 50.000
15963889,Finanzstatus,italy,Data Owners > Experian IT > Premium audiences > Income > 10.000 - 20.000,income,Audiens S.R.L.,3847,data owners > experian it > premium audiences > income > 10.000 - 20.000
15964099,Finanzstatus,italy,Data Owners > Experian IT > Premium audiences > Income > 35.000 - 65.000,income,Audiens S.R.L.,3847,data owners > experian it > premium audiences > income > 35.000 - 65.000
15964070,Finanzstatus,italy,Data Owners > Experian IT > Premium audiences > Income > 5.000 - 10.000,income,Audiens S.R.L.,3847,data owners > experian it > premium audiences > income > 5.000 - 10.000
15963846,Finanzstatus,italy,Data Owners > Experian IT > Premium audiences > Income > 50.000 - 100.000,income,Audiens S.R.L.,3847,data owners > experian it > premium audiences > income > 50.000 - 100.000
15963727,Finanzstatus,italy,Data Owners > Experian IT > Premium audiences > Income > >100.000,income,Audiens S.R.L.,3847,data owners > experian it > premium audiences > income > >100.000
4075157,Finanzstatus,italy,International_EU - Italy Affluent Households (Lotame),affluent,Lotame,422,international_eu - italy affluent households
4075606,Finanzstatus,italy,International_EU - Italy Credit Level - Excellent (Lotame),credit ?(level|score|crunched)?,Lotame,422,international_eu - italy credit level - excellent
4075605,Finanzstatus,italy,International_EU - Italy Credit Level - Good (Lotame),credit ?(level|score|crunched)?,Lotame,422,international_eu - italy credit level - good
4075603,Finanzstatus,italy,International_EU - Italy Credit Level - Poor (Lotame),poor,Lotame,422,international_eu - italy credit level - poor
4075062,Finanzstatus,italy,International_EU - Italy Homeowners Insurance (Lotame),insurance,Lotame,422,international_eu - italy homeowners insurance
4075060,Finanzstatus,italy,International_EU - Italy Life Insurance (Lotame),insurance,Lotame,422,international_eu - italy life insurance
4075374,Finanzstatus,italy,International_EU - Italy Luxury Cars (Lotame),luxury,Lotame,422,international_eu - italy luxury cars
4075010,Finanzstatus,italy,International_EU - Italy Online Shoppers Luxury (Lotame),luxury,Lotame,422,international_eu - italy online shoppers luxury
4075637,Finanzstatus,italy,International_EU - Italy Relationship Status - Widowed (Lotame),widow,Lotame,422,international_eu - italy relationship status - widowed
4074997,Finanzstatus,italy,International_EU - Italy Shoppers Cosmetics Luxury (Lotame),luxury,Lotame,422,international_eu - italy shoppers cosmetics luxury
4075003,Finanzstatus,italy,International_EU - Italy Shoppers Mens Clothing Luxury (Lotame),luxury,Lotame,422,international_eu - italy shoppers mens clothing luxury
4075000,Finanzstatus,italy,International_EU - Italy Shoppers Womens Clothing Luxury (Lotame),luxury,Lotame,422,international_eu - italy shoppers womens clothing luxury
13725590,Finanzstatus,italy,Mobilewalla > IT > General Demography > Average Income (adsquare),income,Adsquare (Data Provider),2711,mobilewalla > it > general demography > average income
13725653,Finanzstatus,italy,Mobilewalla > IT > General Demography > High Income (adsquare),income,Adsquare (Data Provider),2711,mobilewalla > it > general demography > high income
13725584,Finanzstatus,italy,Mobilewalla > IT > General Demography > Low Income (adsquare),income,Adsquare (Data Provider),2711,mobilewalla > it > general demography > low income
7848908,Finanzstatus,italy,"Oracle Country-Specific Audiences > Italy (IT) > Auto, Cars and Trucks > In-Market > Body Styles > Cars > Luxury Cars (BlueKai)",luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,"oracle country-specific audiences > italy (it) > auto, cars and trucks > in-market > body styles > cars > luxury cars "
7848932,Finanzstatus,italy,"Oracle Country-Specific Audiences > Italy (IT) > Auto, Cars and Trucks > Interest (Affinity) > Body Styles > Cars > Luxury Cars (BlueKai)",luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,"oracle country-specific audiences > italy (it) > auto, cars and trucks > interest (affinity) > body styles > cars > luxury cars "
