id,category,country,segment_name,hit,provider_name,provider_id,name_processed
15219277,Finanzstatus,spain,155868574126206_Custom_Grupo1_Iab_HighIncome-IAB_DTM_ES,income,Datmean (Data Provider),9730,155868574126206_custom_grupo1_iab_highincome-iab_dtm_es
15219434,Finanzstatus,spain,155868574126206_Custom_Grupo1_Iab_HighIncome-IAB_DTM_ES,income,Datmean (Data Provider),9730,155868574126206_custom_grupo1_iab_highincome-iab_dtm_es
24573929,Finanzstatus,spain,16051926082909528026_CUSTOM_Amex_Matterkind_Highincome_DTM_ES,income,Datmean (Data Provider),9730,16051926082909528026_custom_amex_matterkind_highincome_dtm_es
24952584,Finanzstatus,spain,adsquare Data Alliance > ES > Black Friday 2020 Audiences > Black Friday 2020 - Luxury Shoppers (adsquare),luxury,Adsquare (Data Provider),2711,adsquare data alliance > es > black friday 2020 audiences > black friday 2020 - luxury shoppers
24967431,Finanzstatus,spain,Adsquare Data Alliance > ES > Demographics > Employment Status > Job Seeking (adsquare),demograph,Adsquare (Data Provider),2711,adsquare data alliance > es > demographics > employment status > job seeking
24967347,Finanzstatus,spain,Adsquare Data Alliance > ES > Demographics > Income > High Income (adsquare),income,Adsquare (Data Provider),2711,adsquare data alliance > es > demographics > income > high income
24967502,Finanzstatus,spain,Adsquare Data Alliance > ES > Demographics > Income > Low Income (adsquare),income,Adsquare (Data Provider),2711,adsquare data alliance > es > demographics > income > low income
24967584,Finanzstatus,spain,Adsquare Data Alliance > ES > Demographics > Income > Middle Income (adsquare),income,Adsquare (Data Provider),2711,adsquare data alliance > es > demographics > income > middle income
13829278,Finanzstatus,spain,Adsquare Data Alliance > ES > Interests > Style and Fashion > Jewellery and Luxury Watch Buyers (adsquare),luxury,Adsquare (Data Provider),2711,adsquare data alliance > es > interests > style and fashion > jewellery and luxury watch buyers
13829273,Finanzstatus,spain,Adsquare Data Alliance > ES > Interests > Style and Fashion > Luxury Shoppers (adsquare),luxury,Adsquare (Data Provider),2711,adsquare data alliance > es > interests > style and fashion > luxury shoppers
21670314,Finanzstatus,spain,"Audience 78492, ES > Luxury",luxury,Weborama SA (Data Provider),1211,"audience 78492, es > luxury"
21670342,Finanzstatus,spain,"Audience 78520, ES > Sport & luxury cars",luxury,Weborama SA (Data Provider),1211,"audience 78520, es > sport & luxury cars"
9987242,Finanzstatus,spain,Branded Data > Factual - Geopulse Audiences > Spain > Behavioral - Auto > In-Market Auto Intenders - Luxury Cars (BlueKai),luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > factual - geopulse audiences > spain > behavioral - auto > in-market auto intenders - luxury cars
9987468,Finanzstatus,spain,Branded Data > Factual - Geopulse Audiences > Spain > Behavioral - Retail > Luxury Goods Shoppers (Affluent Consumer) (BlueKai),luxury,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > factual - geopulse audiences > spain > behavioral - retail > luxury goods shoppers (affluent consumer)
7893010,Finanzstatus,spain,Branded Data > Mobilewalla > Spain > General Demography > Average Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > mobilewalla > spain > general demography > average income
7893026,Finanzstatus,spain,Branded Data > Mobilewalla > Spain > General Demography > High Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > mobilewalla > spain > general demography > high income
7893027,Finanzstatus,spain,Branded Data > Mobilewalla > Spain > General Demography > Low Income (BlueKai),income,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,branded data > mobilewalla > spain > general demography > low income
8255374,Finanzstatus,spain,Experian SP - Finance - Credit Card Frequency Used - 2-3 Time a Month (Exelate),credit ?(level|score|crunched)?,Nielsen Marketing Cloud,39,experian sp - finance - credit card frequency used - 2-3 time a month
8255375,Finanzstatus,spain,Experian SP - Finance - Credit Card Frequency Used - Daily Used (Exelate),credit ?(level|score|crunched)?,Nielsen Marketing Cloud,39,experian sp - finance - credit card frequency used - daily used
8255376,Finanzstatus,spain,Experian SP - Finance - Credit Card Frequency Used - Once a Month (Exelate),credit ?(level|score|crunched)?,Nielsen Marketing Cloud,39,experian sp - finance - credit card frequency used - once a month
8255377,Finanzstatus,spain,Experian SP - Finance - Credit Card Frequency Used - Once a Week (Exelate),credit ?(level|score|crunched)?,Nielsen Marketing Cloud,39,experian sp - finance - credit card frequency used - once a week
8255382,Finanzstatus,spain,Experian SP - Finance - New Credit - Under 6000 euros (Exelate),credit ?(level|score|crunched)?,Nielsen Marketing Cloud,39,experian sp - finance - new credit - under 6000 euros
8255383,Finanzstatus,spain,Experian SP - Finance - New Credit - Up to 15000 euros (Exelate),credit ?(level|score|crunched)?,Nielsen Marketing Cloud,39,experian sp - finance - new credit - up to 15000 euros
8255385,Finanzstatus,spain,Experian SP - Finance - New Credit - Up to 6000 euros Under 15000 euros (Exelate),credit ?(level|score|crunched)?,Nielsen Marketing Cloud,39,experian sp - finance - new credit - up to 6000 euros under 15000 euros
8255386,Finanzstatus,spain,Experian SP - Finance - Number of Credit - 1 (Exelate),credit ?(level|score|crunched)?,Nielsen Marketing Cloud,39,experian sp - finance - number of credit - 1
8255387,Finanzstatus,spain,Experian SP - Finance - Number of Credit - Up To 2 (Exelate),credit ?(level|score|crunched)?,Nielsen Marketing Cloud,39,experian sp - finance - number of credit - up to 2
8255392,Finanzstatus,spain,Experian SP - Financial - Great Consumer of Credit and Cards (Exelate),credit ?(level|score|crunched)?,Nielsen Marketing Cloud,39,experian sp - financial - great consumer of credit and cards
8255395,Finanzstatus,spain,Experian SP - Financial - Retirees Without Credit (Exelate),credit ?(level|score|crunched)?,Nielsen Marketing Cloud,39,experian sp - financial - retirees without credit
8255414,Finanzstatus,spain,Experian SP - Insurance - Always Insured with Total Coverage (Exelate),(un)?insured,Nielsen Marketing Cloud,39,experian sp - insurance - always insured with total coverage
8255419,Finanzstatus,spain,Experian SP - Insurance - Compulsory Insurance (Exelate),insurance,Nielsen Marketing Cloud,39,experian sp - insurance - compulsory insurance
8255420,Finanzstatus,spain,Experian SP - Insurance - Compulsory Insurance and Health insurance (Exelate),insurance,Nielsen Marketing Cloud,39,experian sp - insurance - compulsory insurance and health insurance
8255424,Finanzstatus,spain,Experian SP - Insurance - Great Insurance Consumers (Exelate),insurance,Nielsen Marketing Cloud,39,experian sp - insurance - great insurance consumers
8255428,Finanzstatus,spain,Experian SP - Insurance - Home Insurance - Full Coverage (Exelate),insurance,Nielsen Marketing Cloud,39,experian sp - insurance - home insurance - full coverage
8255430,Finanzstatus,spain,Experian SP - Insurance - Life Insurance - Accidents (Exelate),insurance,Nielsen Marketing Cloud,39,experian sp - insurance - life insurance - accidents
8255431,Finanzstatus,spain,Experian SP - Insurance - Life Insurance - In Case of Death (Exelate),insurance,Nielsen Marketing Cloud,39,experian sp - insurance - life insurance - in case of death
8255432,Finanzstatus,spain,Experian SP - Insurance - Life Insurance - In Case of Death and Maturity (Exelate),insurance,Nielsen Marketing Cloud,39,experian sp - insurance - life insurance - in case of death and maturity
8255433,Finanzstatus,spain,Experian SP - Insurance - Maximum Coverage Insurance Consumer (Exelate),insurance,Nielsen Marketing Cloud,39,experian sp - insurance - maximum coverage insurance consumer
8255438,Finanzstatus,spain,Experian SP - Insurance - Private Medical - All Expenses Paid by the Insurance (Exelate),medic(al|ine),Nielsen Marketing Cloud,39,experian sp - insurance - private medical - all expenses paid by the insurance
8255439,Finanzstatus,spain,Experian SP - Insurance - Private Medical - Part Expenses Paid by the Insurance (Exelate),medic(al|ine),Nielsen Marketing Cloud,39,experian sp - insurance - private medical - part expenses paid by the insurance
8255583,Finanzstatus,spain,Experian SP - Telecomunications - Retirees No Connection (Exelate),retir(ement|int|ee),Nielsen Marketing Cloud,39,experian sp - telecomunications - retirees no connection
22180502,Finanzstatus,spain,Eyeota - ES Experian - Accident Insurance - Have Life And Accidents Insurance,insurance,Eyeota,1706,eyeota - es experian - accident insurance - have life and accidents insurance
22180528,Finanzstatus,spain,Eyeota - ES Experian - B2B - Industry - CNAE LETTER K - Financial and insurance activities,insurance,Eyeota,1706,eyeota - es experian - b2b - industry - cnae letter k - financial and insurance activities
22180532,Finanzstatus,spain,Eyeota - ES Experian - B2B - Industry - CNAE LETTER O - Public Administration and Defence or Compulsory Social Security,social,Eyeota,1706,eyeota - es experian - b2b - industry - cnae letter o - public administration and defence or compulsory social security
22180606,Finanzstatus,spain,Eyeota - ES Experian - Credit Cards - Number of Credit Cards They Have - More than one,credit ?(level|score|crunched)?,Eyeota,1706,eyeota - es experian - credit cards - number of credit cards they have - more than one
22180607,Finanzstatus,spain,Eyeota - ES Experian - Credit Cards - Number of Credit Cards They Have - One,credit ?(level|score|crunched)?,Eyeota,1706,eyeota - es experian - credit cards - number of credit cards they have - one
22180627,Finanzstatus,spain,Eyeota - ES Experian - Credit Cards - Total Frequency Use of The Credit Card - 2-3 times a month,credit ?(level|score|crunched)?,Eyeota,1706,eyeota - es experian - credit cards - total frequency use of the credit card - 2-3 times a month
22180628,Finanzstatus,spain,Eyeota - ES Experian - Credit Cards - Total Frequency Use of The Credit Card - Less frequently,credit ?(level|score|crunched)?,Eyeota,1706,eyeota - es experian - credit cards - total frequency use of the credit card - less frequently
22180630,Finanzstatus,spain,Eyeota - ES Experian - Credit Cards - Total Frequency Use of The Credit Card - Once a month,credit ?(level|score|crunched)?,Eyeota,1706,eyeota - es experian - credit cards - total frequency use of the credit card - once a month
22180631,Finanzstatus,spain,Eyeota - ES Experian - Credit Cards - Total Frequency Use of The Credit Card - Once a week,credit ?(level|score|crunched)?,Eyeota,1706,eyeota - es experian - credit cards - total frequency use of the credit card - once a week
22180632,Finanzstatus,spain,Eyeota - ES Experian - Credit Cards - Total Frequency Use of The Credit Card - One or more times a day or several times a week,credit ?(level|score|crunched)?,Eyeota,1706,eyeota - es experian - credit cards - total frequency use of the credit card - one or more times a day or several times a week
22180640,Finanzstatus,spain,Eyeota - ES Experian - Home Insurance - Type of Home Insurance Coverage - Unlimited or full coverage,insurance,Eyeota,1706,eyeota - es experian - home insurance - type of home insurance coverage - unlimited or full coverage
22180699,Finanzstatus,spain,Eyeota - ES Experian - Sociodemographic - Financial Segmentation - SF2 - Credit Consumer,credit ?(level|score|crunched)?,Eyeota,1706,eyeota - es experian - sociodemographic - financial segmentation - sf2 - credit consumer
22180701,Finanzstatus,spain,Eyeota - ES Experian - Sociodemographic - Financial Segmentation - SF4 - Great Consumer of Credit And Cards,credit ?(level|score|crunched)?,Eyeota,1706,eyeota - es experian - sociodemographic - financial segmentation - sf4 - great consumer of credit and cards
22180706,Finanzstatus,spain,Eyeota - ES Experian - Sociodemographic - Financial Segmentation - SF9 - Retirees Without Credit,retir(ement|int|ee),Eyeota,1706,eyeota - es experian - sociodemographic - financial segmentation - sf9 - retirees without credit
22180707,Finanzstatus,spain,Eyeota - ES Experian - Sociodemographic - Insurance Segmentation - TA1 - Always Insured With Total Coverage,(un)?insured,Eyeota,1706,eyeota - es experian - sociodemographic - insurance segmentation - ta1 - always insured with total coverage
22180708,Finanzstatus,spain,Eyeota - ES Experian - Sociodemographic - Insurance Segmentation - Ta2 - Great Insurance Consumers,insurance,Eyeota,1706,eyeota - es experian - sociodemographic - insurance segmentation - ta2 - great insurance consumers
22180710,Finanzstatus,spain,Eyeota - ES Experian - Sociodemographic - Insurance Segmentation - TA4 - Maximum Coverage Insurance Consumer,insurance,Eyeota,1706,eyeota - es experian - sociodemographic - insurance segmentation - ta4 - maximum coverage insurance consumer
22180711,Finanzstatus,spain,Eyeota - ES Experian - Sociodemographic - Insurance Segmentation - TA5 - Compulsory Insurance + Health Insurance,insurance,Eyeota,1706,eyeota - es experian - sociodemographic - insurance segmentation - ta5 - compulsory insurance + health insurance
22180712,Finanzstatus,spain,Eyeota - ES Experian - Sociodemographic - Insurance Segmentation - TA6 - Compulsory Insurance,insurance,Eyeota,1706,eyeota - es experian - sociodemographic - insurance segmentation - ta6 - compulsory insurance
22180788,Finanzstatus,spain,Eyeota - ES Experian - Sociodemographic - Mosaic Segmentation - D18 - Exposed Urban Families,demograph,Eyeota,1706,eyeota - es experian - sociodemographic - mosaic segmentation - d18 - exposed urban families
22180811,Finanzstatus,spain,Eyeota - ES Experian - Sociodemographic - Mosaic Segmentation - E - Resourceful Families,demograph,Eyeota,1706,eyeota - es experian - sociodemographic - mosaic segmentation - e - resourceful families
22180812,Finanzstatus,spain,Eyeota - ES Experian - Sociodemographic - Mosaic Segmentation - E19 - Emerging Successful Families,demograph,Eyeota,1706,eyeota - es experian - sociodemographic - mosaic segmentation - e19 - emerging successful families
