,Data Provider Name,Data Provider ID,Segment ID,Segment Name
408,Nielsen Marketing Cloud,39,4016184,Tech Targets - From WhoToo - Industry - Memberships and Organizations - Labor Unions (Exelate)
8316,Lotame,422,4396295,Very Liberal/Hard Democrat (Lotame)
35477,DoubleVerify,1182,2453373,DoubleVerify - DV: Contextual>Health & Fitness>Infertility
37138,Cross Pixel Media,1218,5690489,Audience Profiles > Politics > Female Democratic Supporter (Cross Pixel)
115955,"Epsilon Data Management, LLC.",7246,10046990,Epsilon: Healthcare > Conditions > Respiratory Ailments > Asthma
117491,"Epsilon Data Management, LLC.",7246,10049478,Epsilon: Books & Magazines > Bible & Devotional Readers > Highly Likely
117757,"Epsilon Data Management, LLC.",7246,10049891,Epsilon: Healthcare > Conditions > Depression
117763,"Epsilon Data Management, LLC.",7246,10049894,Epsilon: Healthcare > Conditions > Menopause
119175,"Epsilon Data Management, LLC.",7246,10048144,Epsilon: Healthcare > Conditions > Heart Conditions > Irregular Heart Rhythm
128044,Nielsen Marketing Cloud,39,8699095,DelidataX SP - Interest - Gays And Lesbianas (Exelate)
136719,Nielsen Marketing Cloud,39,1792417,Infogroup Business and Professional - Industry - Memberships and Organizations - Labor Unions (Exelate)
141426,ShareThis Inc.,888,10176095,ShareThis > People & Society > Disabled & Special Needs
147853,LiveRamp Data Store,8082,9896167,Infogroup > B2C > Politics > Issues > Environment and Energy > Climate Change > Believers -- Co-op Sourced
151771,LiveRamp Data Store,8082,9901054,Infogroup > B2C > Politics > Issues > Environment and Energy > Climate Change > Non-believers -- Co-op Sourced
157539,LiveRamp Data Store,8082,9908835,33Across > US M Life Events Family Planning
194469,Peer39,517,4356797,Peer39: Custom Category>Pregnant_12-24 Weeks
194470,Peer39,517,4356805,Peer39: Custom Category>Pregnant_25 Plus Weeks
194574,Peer39,517,5079145,Peer39: Health>Conditions&Diseases>Cancer
196816,"Oracle Customs (1st, BlueKai, Datalogix, AddThis)",1781,11544792,2. Pregnant Women + iOS + Female + 21 thru 49 + HHI (2.12.18)_ Pregnant Mothers Feb 2018
201465,Nielsen Marketing Cloud,39,11051482,33Across AudienceID - 33Across Interest Segments - Food - Kosher
205884,Dstillery,9415,12368173,Lifestyle > Political > LGBT Activists - Extreme Confidence (Dstillery)
206682,Dstillery,9415,12374881,Lifestyle > Lifestage > Visa & Immigration (Dstillery)
216055,comScore Inc.,772,4165279,enlarged prostate (Proximic Agent)
218989,LiveRamp Data Store,8082,11872666,Clickagy > Health > Addictions > Gambling
232175,Tru Optik (CTV),8808,13889483,truoptik>webbula>demographics>immigrant assimilation status > partially assimilated (bilingual - english primary)
232176,Tru Optik (CTV),8808,13889484,truoptik>webbula>demographics>immigrant assimilation status > partially assimilated (bilingual - native language primary)
232177,Tru Optik (CTV),8808,13889485,truoptik>webbula>demographics>immigrant assimilation status > unassimilated (native language)
235438,LiveRamp Data Store,8082,14359530,L2 Voter Data > Individual Demographics > Parties Description > Communist
235508,LiveRamp Data Store,8082,14360249,L2 Voter Data > Lifestyle & Issue Data > HaystaqDNA > Marijuana Legalization > Support
240233,Nielsen Marketing Cloud,39,11387188,Nielsen Harris Poll - Employment Status - Unable to work due to a disability
276477,Eyeota,1706,1726852,Eyeota - AU Roy Morgan - Helix Personas (2014) - 300 Today's Families - 305 Successful Immigrants
290847,"Oracle Customs (1st, BlueKai, Datalogix, AddThis)",1781,16600090,Aud.GayFriendly Lifestyle_Estilo de Vida (HD)_Aud.GayFriendly Lifestyle_Estilo de Vida (HD) Appnexus
290848,"Oracle Customs (1st, BlueKai, Datalogix, AddThis)",1781,16600092,Aud.GayFriendly Lifestyle_Estilo de Vida (HD)_Aud.GayFriendly Lifestyle_Estilo de Vida (HD) Appnexus
315677,LiveRamp Data Store,8082,16541095,Crossix > Crossix GA > Diagnosis > Atrial Fibrillation > 1
315698,LiveRamp Data Store,8082,16541074,Crossix > Crossix GA > Diagnosis > Congestive Heart Failure > 2
315709,LiveRamp Data Store,8082,14885806,Crossix > Crossix WL > Diagnosis > Leukemia > 3
316989,Eyeota,1706,8030055,Eyeota - US Plunge Digital - Interest - Treatment - Erectile Dysfunction
349936,LiveRamp Data Store,8082,11827522,Twine > Mobile Apps > Top Mobile Apps > Grindr - Gay chat
356464,LiveRamp Data Store,8082,11872740,Clickagy > Health > Addictions > Alcohol
356607,LiveRamp Data Store,8082,11872717,Clickagy > Health > Addictions > Drugs
360242,LiveRamp Data Store,8082,18358332,Crossix WL > Health Relevance Model  > Stroke > 1
376479,LiveRamp Data Store,8082,18623410,Crossix Custom > Health Relevance Model  > ADHD Recent Adult Diagnosis (Shire) > 1
428103,LiveRamp Data Store,8082,19759880,Catalina > Product Attributes >  Ingredients  >  Lifestyle Diet  >  Kosher Lifestyle
432191,Eyeota,1706,19823472,Eyeota - NZ Equifax - Landscape - 305 Successful Immigrants
438658,"Adstra, LLC",11329,19848306,Social Profiles by Type > Lesbian/Gay/Bisexual/Transgender (LGBT) Supporters (Adstra)
439553,"Adstra, LLC",11329,19849408,Disease Propensity by Type > Anxiety Diagnosis (Adstra)
439556,"Adstra, LLC",11329,19849413,Disease Propensity by Type > Cancer: Skin (Adstra)
460583,LiveRamp Data Store,8082,21141805,Clickagy > Partners > Engine Group > Healthcare/Lifestyle > Fertility Treatment Participant/Information Seekers
491544,Dstillery,9415,15890369,Lifestyle > Political > Right Wing Radicals - Extreme Confidence (Dstillery)
550218,Semcasting (Data Provider),1478,23815592,NJ_Cannabis_Af-American_device_cookie
553517,Semcasting (Data Provider),1478,24103280,NJ_Cannabis_Young_Voters_v2_device_cookie
571481,Dstillery,9415,24678876,Lifestyle > Lifestage > Visa & Immigration - Extreme Confidence (Dstillery)
571508,Dstillery,9415,24678939,Lifestyle > Activities > Marijuana - Extreme Confidence (Dstillery)
591284,HYP PTY LTD,12281,25085013,Brain and Nervous System Disorders ( behaviour )
594368,KBM Group,957,19797943,Zipline Prostate Disorders
598210,"Skydeo, Inc.",10294,24942177,Skydeo > Interest > Insomnia Sufferers > Likely
604335,"Skydeo, Inc.",10294,24945311,Skydeo > Political Pinpoints > Voter Profile > Marriage Equality Supporters
607909,"Skydeo, Inc.",10294,24945240,Skydeo > ConditionGraph > Disease Propensity by Type > Stroke Propensity
610122,"Adstra, LLC",11329,25247055,Depression Propensity - Reach Tier 3 (Adstra)
610158,"Adstra, LLC",11329,25247118,Marijuana User: Active (Adstra)
628566,"Epsilon Data Management, LLC.",7246,25831006,Epsilon: Demographics > Labor Union Members > Highly Likely
649553,LiveRamp Data Store,8082,22478354,Deep Root Analytics > Anti Socialism
