,Data Provider Name,Data Provider ID,Segment ID,Segment Name
9399,Lotame,422,8059874,Mobilewalla > US > Political > Conservative
9400,Lotame,422,8059873,Mobilewalla > US > Political > Liberal
9854,Lotame,422,8059592,Mobilewalla > US > Ethno Linguistic > Asian American
9861,Lotame,422,8059464,Mobilewalla > US > General Demography > 13-18
9862,Lotame,422,8059463,Mobilewalla > US > General Demography > 19-24
77330,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7049989,Branded Data > ALC > Aristotle Political Precision (US) > Social Profiles by Type > Donald Trump Supporters (BlueKai)
86260,VisualDNA,2479,2650794,VisualDNA > Personality > US > Love > Passionate Lovers
86262,VisualDNA,2479,2650796,VisualDNA > Personality > US > Love > Romantic Adventurers
99726,"Oracle Customs (1st, BlueKai, Datalogix, AddThis)",1781,7049875,Experian – Private > Ethnic Insight > Ethinic Group > Native American_Experian – Private > Ethnic Insight > Ethinic Group > Native American
133905,LiveRamp Data Store,8082,9932965,American Student Marketing > Race > Asian/Pacific Islander
145850,LiveRamp Data Store,8082,9893572,SMS_New Mover > ethnic_minority_group > All African American Ethnic Groups
160835,LiveRamp Data Store,8082,9914737,American Student Marketing > Religious Affiliation > Jewish/Judaism
164261,LiveRamp Data Store,8082,9931228,American Student Marketing > Religious Affiliation > Islam/Muslim
212353,Dstillery,9415,12740323,Health > Medical > American Academy of Urgent Care Medicine Location Visitors (Dstillery)
212616,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,12751546,Branded Data > ALC > Aristotle Political Precision (US) > 2018's Most Competitive Congressional Districts > Michigan - 11th Congressional District (BlueKai)
221767,Adsquare (Data Provider),2711,13602480,adsquare Data Alliance > US > Demographics > Age & Gender (Nielsen DAR Validated) > Male > Male 13+ (adsquare)
221768,Adsquare (Data Provider),2711,13602486,adsquare Data Alliance > US > Demographics > Age & Gender (Nielsen DAR Validated) > Female > Female 13+ (adsquare)
229337,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,13922726,Branded Data > ALC > Aristotle Political Precision (US) > High Dollar Donors > High Dollar Federal Donors - Republican (BlueKai)
292573,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,16708334,Branded Data > ALC > Aristotle Political Precision (US) > Political Affiliation by Party > Split Households (BlueKai)
320761,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7049992,Branded Data > ALC > Aristotle Political Precision (US) > Social Profiles by Type > Likely Tea Party Supporters (BlueKai)
320803,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7050026,Branded Data > ALC > Aristotle Political Precision (US) > Voters by Voting History > Frequent Primary Election Voters - Democrat (BlueKai)
347457,LiveRamp Data Store,8082,17685397,PushSpring > Custom > MIQ Digital > US - Divorced - Cross Device
357803,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,18281382,Branded Data > ALC > Aristotle Political Precision (US) > Political Affiliation by Party > Republican - Hardcore (BlueKai)
357805,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,18281388,Branded Data > ALC > Aristotle Political Precision (US) > Political Affiliation by Party > Democrat - Persuadable/Soft (BlueKai)
359449,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,18305987,Branded Data > ALC > Aristotle Political Precision (US) > Voters by Voting History > Super Tuesday Voters - Democrat (BlueKai)
462150,"Oracle Customs (1st, BlueKai, Datalogix, AddThis)",1781,21295850,BK_Pain Medication Buyer_US_THIRD_PARTY_BK_Pain Medication Buyer_US_THIRD_PARTY
462151,"Oracle Customs (1st, BlueKai, Datalogix, AddThis)",1781,21295851,BK_Pain Medication Buyer_US_THIRD_PARTY_BK_Pain Medication Buyer_US_THIRD_PARTY
510219,LiveRamp Data Store,8082,22384608,Kantar > US > Health and Wellness > Telemedicine > Parents with Children Under 18 and Would Consider Using Telemedicine
510251,LiveRamp Data Store,8082,22385032,Kantar > US > Health and Wellness > Conditions and Treatments > Diabetic Nerve Pain or Neuropathy
510263,LiveRamp Data Store,8082,22385116,Kantar > US > Health and Wellness > Conditions and Treatments > Chronic Migraine Headache
510411,LiveRamp Data Store,8082,22386092,Kantar > US > Health and Wellness > Outlook > Weight Loss Surgery Inclined
510476,LiveRamp Data Store,8082,22386342,Kantar > US > Health and Wellness > Health Providers and Services > No Medical Check Ups in Past 5 Years
510489,LiveRamp Data Store,8082,22386414,Kantar > US > Health and Wellness > Conditions and Treatments > Blood Clots in The Legs or DVT
510531,LiveRamp Data Store,8082,22386700,Kantar > US > Health and Wellness > Conditions and Treatments > Rheumatoid Arthritis
510614,LiveRamp Data Store,8082,22387314,Kantar > US > Health and Wellness > Conditions and Treatments > Use OTC Treatment for Menstrual Cramps or PMS
510732,LiveRamp Data Store,8082,22387953,Kantar > US > Health and Wellness > Conditions and Treatments > Sleeping Difficulty or Insomnia and Not Treating
518154,LiveRamp Data Store,8082,22632967,Infogroup > Consumer > US Politics > Environment > Climate Change Believer - No
518210,LiveRamp Data Store,8082,22632725,Infogroup > Consumer > US Politics > Environment > Climate Change Believer - Yes
529169,LiveRamp Data Store,8082,23355892,Kantar > US > Custom >  Use Any Rx Treatment for Depression
552102,LiveRamp Data Store,8082,23909017,AlikeAudience: United States > Demographic > Ethnicity > Middle Eastern
568372,Retargetly,4054,21656716,Branded Data > Equifax > USA > Debt Level > High (RT-310735) (Retargetly)
580731,Eyeota,1706,20423385,Eyeota - US Affinity Answers - Interest - US Politics - Advocacy Groups and NGOs - NARAL Pro-Choice America
