id,category,country,name,hit
13723689,Gesundheit,austria,gfk > at > purchasing power for retail product lines > alcoholic beverages > 3: high,alcohol
13723906,Gesundheit,denmark,gfk > dk > purchasing power for retail product lines > alcoholic beverages > 3: high,alcohol
13722605,Gesundheit,finland,gfk > fi > purchasing power for retail product lines > alcoholic beverages > 3: high,alcohol
13723298,Gesundheit,germany,gfk > de > purchasing power for retail product lines > other alcoholic beverages > 3: high,alcohol
13723775,Gesundheit,spain,gfk > es > purchasing power for retail product lines > alcoholic beverages > 3: high,alcohol
13723510,Gesundheit,sweden,gfk > se > purchasing power for retail product lines > alcoholic beverages > 3: high,alcohol
4072934,politische Meinungen,france,international_eu - france environmentalism,(?!environ)mental
4074081,politische Meinungen,germany,international_eu - germany environmentalism,(?!environ)mental
4075097,politische Meinungen,italy,international_eu - italy environmentalism,(?!environ)mental
26344487,politische Meinungen,italy,lotame > custom > it > environmentalism,(?!environ)mental
4070328,politische Meinungen,spain,international_eu - spain environmentalism,(?!environ)mental
18338174,Finanzstatus,austria,semasio - at: classic extended audience - automotive - interest in luxury cars & collectors,luxury
19489293,Finanzstatus,austria,zeotap > austria > purchase intent > fashion & beauty > luxury,luxury
15280853,Finanzstatus,belgium,xaxisbel_gs_predicts_luxuryautoenthus,luxury
11156742,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > household income,income
15102661,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > household income > 300-699.999 dkk (power reach),income
11157242,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > household income > 300-699.999 dkk (super target),income
15101406,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > household income > 700-999.999 dkk (power reach),income
11153573,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > household income > 700-999.999 dkk (super target),income
11153106,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > household income > elite,income
11154469,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > household income > high,income
15101320,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > household income > less than 300.000 dkk (power reach),income
11156104,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > household income > less than 300.000 dkk (super target),income
11153682,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > household income > low,income
11154020,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > household income > medium,income
15101308,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > household income > over 1 million dkk (power reach),income
11156575,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > household income > over 1 million dkk (super target),income
11155306,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > insurance > has a private health insurance (super target),insurance
15102737,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > insurance > has an unemployment insurance (power reach),insurance
11154777,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > insurance > has an unemployment insurance (super target),insurance
11155101,Finanzstatus,denmark,branded data > nordic data resources > denmark > economy > insurance > no unemployment insurance (super target),insurance
11155505,Finanzstatus,denmark,"branded data > nordic data resources > denmark > online mosaic > new 2017 mosaic > (b) modern, married & affluent",affluent
8012492,Finanzstatus,denmark,branded data > nordic data resources > denmark > power reach > financial services > wealthy,wealth(y|iest)
8011062,Finanzstatus,denmark,branded data > nordic data resources > denmark > power reach > income,income
8012505,Finanzstatus,denmark,branded data > nordic data resources > denmark > power reach > income > elite,income
8012504,Finanzstatus,denmark,branded data > nordic data resources > denmark > power reach > income > high,income
8012511,Finanzstatus,denmark,branded data > nordic data resources > denmark > power reach > income > medium,income
8012510,Finanzstatus,denmark,branded data > nordic data resources > denmark > power reach > income > modest,income
15102369,Finanzstatus,denmark,branded data > nordic data resources > denmark > shopping > shops luxury products (power reach),luxury
11154134,Finanzstatus,denmark,branded data > nordic data resources > denmark > shopping > shops luxury products (super target),luxury
8012538,Finanzstatus,denmark,branded data > nordic data resources > denmark > super target > cars > luxury cars,luxury
8012563,Finanzstatus,denmark,branded data > nordic data resources > denmark > super target > loans & pensions > loans & credit,credit ?(level|score|crunched)?
7518146,Finanzstatus,denmark,branded data > semasio > denmark > interest > automotive > luxury,luxury
7518156,Finanzstatus,denmark,branded data > semasio > denmark > interest > luxury products,luxury
15675619,Finanzstatus,denmark,eyeota - dk ndr - 01 online cameo - 03 affluent communities,affluent
15675661,Finanzstatus,denmark,eyeota - dk ndr - 01 online cameo - 06 middle income households,income
15675746,Finanzstatus,denmark,"eyeota - dk ndr - 01 online mosaic - (b) modern, married and affluent",affluent
17575875,Finanzstatus,denmark,eyeota - dk ndr - 011 ndr international - a1 less affluent pre-family couples and singles,affluent
17575872,Finanzstatus,denmark,eyeota - dk ndr - 011 ndr international - a4 less affluent mature families and couples in retirement,retir(ement|int|ee)
17575876,Finanzstatus,denmark,eyeota - dk ndr - 011 ndr international - b4 comfortable mature families and couples in retirement,retir(ement|int|ee)
17575879,Finanzstatus,denmark,eyeota - dk ndr - 011 ndr international - c4 prosperous mature families and couples in retirement,retir(ement|int|ee)
17575896,Finanzstatus,denmark,eyeota - dk ndr - 04 economy - 1 modest income families,income
17575903,Finanzstatus,denmark,eyeota - dk ndr - 04 economy - 2 less affluent families,affluent
17575901,Finanzstatus,denmark,eyeota - dk ndr - 04 economy - 5 wealthy families,wealth(y|iest)
15676061,Finanzstatus,denmark,"eyeota - dk ndr - 04 economy - household income - 300-699,999 dkk",income
15676099,Finanzstatus,denmark,"eyeota - dk ndr - 04 economy - household income - 700-999,999 dkk",income
15676117,Finanzstatus,denmark,"eyeota - dk ndr - 04 economy - household income - less than 300,000 dkk",income
15676166,Finanzstatus,denmark,eyeota - dk ndr - 04 economy - household income - over 1 million dkk,income
15676232,Finanzstatus,denmark,eyeota - dk ndr - 04 economy - insurance - has a private health insurance,insurance
15676229,Finanzstatus,denmark,eyeota - dk ndr - 04 economy - insurance - has a private health insurance,insurance
15676236,Finanzstatus,denmark,eyeota - dk ndr - 04 economy - insurance - has an unemployment insurance,insurance
